"bootstrap_id","spearman_rho","top_50_overlap","top_100_overlap","top_200_overlap"
1,0.917901924672587,0.82,0.77,0.86
2,0.917116996876952,0.76,0.78,0.855
3,0.917789511849272,0.82,0.75,0.835
4,0.965048805922784,0.84,0.88,0.88
5,0.937070039866653,0.82,0.89,0.85
6,0.859403283841015,0.7,0.72,0.8
7,0.940608197628377,0.84,0.81,0.865
8,0.929687639806685,0.86,0.81,0.875
9,0.879773944384466,0.84,0.81,0.83
10,0.894952279757923,0.7,0.77,0.82
11,0.89247556404588,0.76,0.8,0.785
12,0.925818498996273,0.84,0.84,0.85
13,0.916094380669745,0.74,0.78,0.83
14,0.900346194895875,0.66,0.77,0.77
15,0.95474313577493,0.88,0.86,0.9
16,0.930408957622468,0.78,0.79,0.86
17,0.916449452809005,0.74,0.79,0.83
18,0.821487328021005,0.74,0.78,0.795
19,0.935701835829768,0.82,0.83,0.84
20,0.917932471539813,0.84,0.83,0.86
