"gene","selected_n","selection_frequency"
"AAK1",20,1
"ANAPC16",20,1
"ANP32E",20,1
"ANXA2R",20,1
"ANXA6",20,1
"ARL6IP5",20,1
"ARPC2",20,1
"ARPC3",20,1
"ARPC4",20,1
"ATF7IP2",20,1
"ATM",20,1
"B2M",20,1
"BCL11B",20,1
"BST2",20,1
"BUD31",20,1
"CALM1",20,1
"CARD16",20,1
"CD3D",20,1
"CD44",20,1
"CD53",20,1
"CD69",20,1
"CD8A",20,1
"CD99-ENSG00000002586",20,1
"CFL1",20,1
"CHCHD2",20,1
"CIAO2B",20,1
"CIB1",20,1
"CIRBP",20,1
"CLIC1",20,1
"COX4I1",20,1
"COX5A",20,1
"COX8A",20,1
"CSDE1",20,1
"CYCS",20,1
"DBI",20,1
"DCTN3",20,1
"DRAP1",20,1
"DYNLL1",20,1
"DYNLRB1",20,1
"EEF1A1",20,1
"EIF2S3",20,1
"EIF3E",20,1
"EIF3L",20,1
"EIF3M",20,1
"EIF4B",20,1
"EMP3",20,1
"FBL",20,1
"FLNA",20,1
"FOXP1",20,1
"GAPDH",20,1
"GNG5",20,1
"GZMB",20,1
"GZMH",20,1
"HLA-A",20,1
"HLA-DPA1",20,1
"HLA-DPB1",20,1
"HLA-DRB1",20,1
"HNRNPA1",20,1
"HSD17B11",20,1
"HSP90AA1",20,1
"IFI27L2",20,1
"IFI6",20,1
"IFITM2",20,1
"IL32",20,1
"IL7R",20,1
"IRF1-AS1",20,1
"ISG15",20,1
"KLF6",20,1
"KLRB1",20,1
"LAMTOR2",20,1
"LDHA",20,1
"LGALS1",20,1
"LST1",20,1
"LY6E",20,1
"MAP1LC3B",20,1
"MIEN1",20,1
"MIF",20,1
"MSN",20,1
"MT-ATP6",20,1
"MT-CO2",20,1
"MT-CO3",20,1
"MT-CYB",20,1
"MT-ND3",20,1
"MT-ND4",20,1
"MT-ND4L",20,1
"MT-ND5",20,1
"MYL12B",20,1
"MYL6",20,1
"NKG7",20,1
"NPM1",20,1
"NSD3",20,1
"PABPC1",20,1
"PCBP2",20,1
"PCNP",20,1
"PDCD4",20,1
"PFDN5",20,1
"PHPT1",20,1
"PLAAT4",20,1
"POLR2G",20,1
"POMP",20,1
"PPP1CA",20,1
"PSMA3-AS1",20,1
"PSMA7",20,1
"PSMB8",20,1
"PSMB9",20,1
"PSMD8",20,1
"PSME1",20,1
"PSME2",20,1
"PTPRCAP",20,1
"RBMX",20,1
"REEP5",20,1
"RHOA",20,1
"RHOG",20,1
"RSL1D1",20,1
"S100A10",20,1
"S100A6",20,1
"SAT1",20,1
"SEC62",20,1
"SEM1",20,1
"SET",20,1
"SF3B5",20,1
"SH3BGRL",20,1
"SH3BGRL3",20,1
"SMIM27",20,1
"SNHG25",20,1
"SNRPF",20,1
"SORL1",20,1
"SP100",20,1
"SP110",20,1
"SRSF6",20,1
"ST13",20,1
"SUB1",20,1
"SVIP",20,1
"TC2N",20,1
"TCF7",20,1
"TLE4",20,1
"TMEM50A",20,1
"TMSB10",20,1
"TMSB4X",20,1
"TNRC6B",20,1
"TOMM7",20,1
"TRAPPC1",20,1
"TTC19",20,1
"TTC3",20,1
"TXN",20,1
"TYROBP",20,1
"UBB",20,1
"UBC",20,1
"UFM1",20,1
"UXT",20,1
"VIM",20,1
"YWHAB",20,1
"ZFP36",20,1
"ATP6V0E1",19,0.95
"BAX",19,0.95
"BAZ1A",19,0.95
"BLOC1S1",19,0.95
"C12orf75",19,0.95
"CD2",19,0.95
"COX5B",19,0.95
"CSNK2B",19,0.95
"CST7",19,0.95
"CYBA",19,0.95
"EEF2",19,0.95
"FAM107B",19,0.95
"GSTK1",19,0.95
"GZMM",19,0.95
"H2AZ2",19,0.95
"HADHA",19,0.95
"HNRNPDL",19,0.95
"HNRNPM",19,0.95
"IFI16",19,0.95
"IL2RG",19,0.95
"LAMTOR5",19,0.95
"LMAN2",19,0.95
"MORF4L1",19,0.95
"NDFIP1",19,0.95
"NDUFA6",19,0.95
