"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0009060","GO:0009060","aerobic respiration",0.101010101010101,5.3967436403697,2.3378526032537e-10,1.79473297164203e-10,"MT-ND3/MT-CO3/MT-ND4L/LDHA/MT-CO1/MT-ATP6/MT-CO2/MT-ND5/TREX1/ATP5ME/ATP5PD/GAPDH/MT-ND4/ATP5F1C/NDUFA12/DNAJC15/DDIT4/MT-CYB/BLOC1S1/NDUFB1/NDUFB3/RHOA/NOP53/MT-ND2/COX5B/PKM/ENO1/COX7C/ALDOA/HIF1A",30
"GO:0006119","GO:0006119","oxidative phosphorylation",0.135135135135135,7.2199678431973,6.54583417579806e-09,5.02513477789649e-09,"MT-ND3/MT-CO3/MT-ND4L/MT-CO1/MT-ATP6/MT-CO2/MT-ND5/ATP5ME/ATP5PD/MT-ND4/ATP5F1C/NDUFA12/DNAJC15/MT-CYB/NDUFB1/NDUFB3/RHOA/MT-ND2/COX5B/COX7C",20
"GO:0008380","GO:0008380","RNA splicing",0.0714285714285714,3.81626871711858,1.19242059744148e-08,9.15402690193071e-09,"HNRNPH1/HNRNPL/HNRNPA1/CIRBP/PABPC1/SRSF6/SLC38A2/RBM3/NPM1/LGALS3/HNRNPH3/MBNL1/TRA2A/SYNCRIP/HNRNPA2B1/SREK1/IVNS1ABP/NONO/DDX5/SFPQ/NCL/YBX1/SNRPD2/TRA2B/SRSF11/HNRNPK/DDX17/HNRNPC/SRRM2/CELF1/HNRNPU/FUS/RSRC1/HNRNPUL1/ARL6IP4",35
"GO:0006417","GO:0006417","regulation of translation",0.071578947368421,3.82430296704935,1.80201770071355e-08,1.38338087630163e-08,"SSB/CIRBP/ZFP36L1/PABPC1/EIF4B/DDX3X/TNRC6B/EEF2/CSDE1/RBX1/RBM3/NPM1/EIF1/GAPDH/EIF4G2/SYNCRIP/METAP2/RACK1/FXR1/EIF4A2/CPEB4/HNRNPD/EIF4EBP2/CNOT1/RNH1/NCL/YBX1/PKM/USP16/RGS2/BTG2/EIF3E/CELF1/HNRNPU",34
"GO:0050792","GO:0050792","regulation of viral process",0.127659574468085,6.82056536676511,8.05525615662991e-08,6.18389448471029e-08,"ISG15/IFITM3/BST2/PLSCR1/PABPC1/DDX3X/IFITM2/STAT1/LGALS9/HMGB1/IFI16/IL32/LGALS1/DYNLT1/DDX5/SP100/CD4/ISG20",18
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.391304347826087,20.9065155807365,8.05525615662991e-08,6.18389448471029e-08,"ZFP36L1/PABPC1/TNRC6B/CSDE1/SYNCRIP/HNRNPD/CNOT1/YBX1/HNRNPU",9
"GO:1903311","GO:1903311","regulation of mRNA metabolic process",0.0709219858156028,3.78920298153617,1.50743057585512e-07,1.15723093628026e-07,"HNRNPL/HNRNPA1/CIRBP/ZFP36L1/PABPC1/TNRC6B/SRSF6/PABPC4/CSDE1/RBX1/RBM3/NPM1/TRA2A/NORAD/SYNCRIP/DDX5/FXR1/HNRNPD/CNOT1/NCL/APEX1/YBX1/TRA2B/HNRNPK/BTG2/DDX17/HNRNPC/CELF1/HNRNPU/FUS",30
"GO:0006754","GO:0006754","ATP biosynthetic process",0.144230769230769,7.70592721725866,2.47615048626835e-07,1.90090209890405e-07,"MT-ND3/MT-ND4L/MT-ATP6/MT-ND5/ATP5ME/ATP5PD/MT-ND4/ATP5F1C/NDUFA12/NDUFB1/NDUFB3/ATP5MJ/MT-ND2/ENO1/ALDOA",15
"GO:0002181","GO:0002181","cytoplasmic translation",0.0961538461538462,5.13728481150577,5.03046078990927e-07,3.86180627026589e-07,"PABPC1/EIF4B/EEF2/CSDE1/EIF2S3/EIF3L/SYNCRIP/RACK1/FXR1/EIF4A2/CPEB4/HNRNPD/RNH1/YBX1/PKM/EIF3J/MCTS1/EIF3E/EIF3M/HNRNPU",20
"GO:0046034","GO:0046034","ATP metabolic process",0.0871369294605809,4.65553113208656,8.97321405727853e-07,6.888596444355e-07,"MT-ND3/MT-ND4L/LDHA/MT-ATP6/MT-ND5/TREX1/ATP5ME/ATP5PD/GAPDH/MT-ND4/ATP5F1C/NDUFA12/DDIT4/NDUFB1/NDUFB3/ATP5MJ/MT-ND2/PKM/ENO1/ALDOA/HIF1A",21
