"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",0.22,13.8306666666667,5.13192169829161e-16,4.17486915442697e-16,"MT-ND3/MT-CO2/MT-ND4L/MT-ND4/MT-CO3/CYCS/MT-CYB/COX8A/CHCHD2/MT-ND5/NDUFB1/MT-ND2/COX4I1/COX7C/COX5A/COX5B/MT-CO1/NDUFA12/UQCRB/PARK7/COX6A1/COX7B",22
"GO:1902600","GO:1902600","proton transmembrane transport",0.104166666666667,6.54861111111111,1.02943779976364e-08,8.37457850938198e-09,"MT-ND3/MT-CO2/MT-ND4L/MT-ND4/MT-CO3/MT-CYB/COX8A/MT-ATP6/MT-ND5/NDUFB1/MT-ND2/COX4I1/COX5A/COX5B/ATP6V0E1/MT-CO1/NDUFA12/ATP6V1G1/ATP5ME/COX7B",20
"GO:1903900","GO:1903900","regulation of viral life cycle",0.121739130434783,7.65333333333333,1.08014705968464e-06,8.78710336368453e-07,"ISG15/IFITM2/LGALS1/ZC3HAV1/PABPC1/PPIA/IL32/HLA-DRB1/BST2/CSNK2B/IFITM1/DDX3X/CNOT7/ISG20",14
"GO:0016032","GO:0016032","viral process",0.0606060606060606,3.81010101010101,5.78592364067635e-06,4.70690621514563e-06,"ISG15/IFITM2/LGALS1/EIF3L/ZC3HAV1/PABPC1/CSDE1/PCBP2/PPIA/IL32/HLA-DRB1/BST2/CXCR4/MGAT4A/CSNK2B/IFITM1/DDX3X/VAMP8/EIF3D/CNOT7/ISG20/ITGB1/OAZ1/CSNK1A1",24
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome",0.063953488372093,4.02054263565891,7.67735710231192e-06,6.24560607864161e-06,"CIRBP/HNRNPA1/SRSF6/HNRNPH1/RBMX/PABPC1/CWF19L2/ARGLU1/HNRNPM/NPM1/TRA2A/SON/SNRPB/YTHDC1/RBM3/SYF2/LSM5/HNRNPU/SNRPF/NCL/DDX17/SF3B5",22
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome",0.111111111111111,6.98518518518519,8.03850664374143e-06,6.5394048092714e-06,"CIRBP/HNRNPA1/SRSF6/RBMX/ARGLU1/NPM1/TRA2A/SON/YTHDC1/RBM3/HNRNPU/NCL/DDX17",13
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.304347826086957,19.1333333333333,8.03850664374143e-06,6.5394048092714e-06,"PABPC1/CSDE1/TNRC6B/HNRNPD/CNOT7/ZFP36L1/HNRNPU",7
"GO:0006413","GO:0006413","translational initiation",0.0925925925925926,5.82098765432099,8.03850664374143e-06,6.5394048092714e-06,"EIF2S3/EIF4B/EIF3L/CSDE1/EIF3E/METAP2/EIF3H/NPM1/EIF1AX/EIF3M/PPP1CA/POLR2G/EIF1/DDX3X/EIF3D",15
"GO:0006754","GO:0006754","ATP biosynthetic process",0.115384615384615,7.25384615384615,1.39760495794688e-05,1.1369654823356e-05,"TMSB4X/MT-ND3/MT-ND4L/MT-ND4/MT-ATP6/MT-ND5/NDUFB1/MT-ND2/NDUFA12/ENO1/ATP5ME/ATP5MJ",12
"GO:0019882","GO:0019882","antigen processing and presentation",0.1,6.28666666666667,5.82691946406778e-05,4.74025672370741e-05,"HLA-A/PSME1/B2M/HLA-DPB1/HLA-DPA1/HLA-C/PSMB8/CST7/HLA-DRB1/PDIA3/CD8A/HLA-F",12
