"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0019646","GO:0019646","aerobic electron transport chain",0.0860215053763441,25.3494623655914,7.81829560455758e-07,6.41808915491094e-07,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",0.08,23.575,7.81829560455758e-07,6.41808915491094e-07,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",0.08,23.575,7.81829560455758e-07,6.41808915491094e-07,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0022904","GO:0022904","respiratory electron transport chain",0.0695652173913043,20.5,1.79123511157007e-06,1.47043642565292e-06,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0022900","GO:0022900","electron transport chain",0.064,18.86,2.77504342922269e-06,2.27805100220547e-06,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",0.217391304347826,64.0625,2.95591889288205e-06,2.42653283384981e-06,"COX4I1/COX7B/COX7C/COX6A1/MT-CO1",5
"GO:0006119","GO:0006119","oxidative phosphorylation",0.0540540540540541,15.9290540540541,7.46792841667694e-06,6.1304704765557e-06,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0009060","GO:0009060","aerobic respiration",0.0269360269360269,7.93771043771044,0.00127618399971529,0.00104762765473704,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0045333","GO:0045333","cellular respiration",0.0238095238095238,7.01636904761905,0.00277530150798067,0.00227826286071805,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:1902600","GO:1902600","proton transmembrane transport",0.03125,9.208984375,0.00680546980709837,0.00558665394252301,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/MT-CO1",6
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",0.0184331797235023,5.43202764976959,0.0138247051584135,0.0113487893953936,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",0.0161943319838057,4.77226720647773,0.0306899670796709,0.0251935913965427,"MT-ND2/COX4I1/NDUFA6/COX7B/UQCR10/COX7C/COX6A1/MT-CO1",8
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion",0.0174563591022444,5.14417082294264,0.0451956741448097,0.0371014196378811,"B2M/CD69/ETS1/RIPOR2/ANXA1/HLA-DRA/ACTB",7
"GO:0032435","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process",0.0612244897959184,18.0420918367347,0.0620009556460233,0.0508969833263773,"RBX1/EIF3H/HSP90AB1",3
"GO:0045622","GO:0045622","regulation of T-helper cell differentiation",0.06,17.68125,0.0620009556460233,0.0508969833263773,"CD69/ANXA1/HLA-DRA",3
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion",0.0159453302961276,4.69888952164009,0.0620009556460233,0.0508969833263773,"B2M/CD69/ETS1/RIPOR2/ANXA1/HLA-DRA/ACTB",7
"GO:0140507","GO:0140507","granzyme-mediated programmed cell death signaling pathway",0.166666666666667,49.1145833333333,0.0620009556460233,0.0508969833263773,"SRGN/GZMA",2
"GO:0042177","GO:0042177","negative regulation of protein catabolic process",0.031496062992126,9.28149606299213,0.0729435060510693,0.0598797933445547,"RBX1/EIF3H/CST3/HSP90AB1",4
"GO:0007004","GO:0007004","telomere maintenance via telomerase",0.05,14.734375,0.0741977283933417,0.0609093925334231,"HNRNPU/PTGES3/HSP90AB1",3
"GO:0022618","GO:0022618","protein-RNA complex assembly",0.0216450216450216,6.37851731601732,0.0741977283933417,0.0609093925334231,"SNRPF/EIF3H/EIF3D/PTGES3/HSP90AB1",5
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex",0.133333333333333,39.2916666666667,0.0741977283933417,0.0609093925334231,"EIF3H/EIF3D",2
"GO:0002399","GO:0002399","MHC class II protein complex assembly",0.125,36.8359375,0.0741977283933417,0.0609093925334231,"B2M/HLA-DRA",2
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex",0.125,36.8359375,0.0741977283933417,0.0609093925334231,"B2M/HLA-DRA",2
"GO:2000402","GO:2000402","negative regulation of lymphocyte migration",0.125,36.8359375,0.0741977283933417,0.0609093925334231,"CD69/RIPOR2",2
"GO:0071826","GO:0071826","protein-RNA complex organization",0.0208333333333333,6.13932291666667,0.0741977283933417,0.0609093925334231,"SNRPF/EIF3H/EIF3D/PTGES3/HSP90AB1",5
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation",0.046875,13.8134765625,0.0741977283933417,0.0609093925334231,"CD69/ANXA1/HLA-DRA",3
"GO:0006278","GO:0006278","RNA-templated DNA biosynthetic process",0.0447761194029851,13.1949626865672,0.0745477305897828,0.0611967115879577,"HNRNPU/PTGES3/HSP90AB1",3
"GO:1901799","GO:1901799","negative regulation of proteasomal protein catabolic process",0.0447761194029851,13.1949626865672,0.0745477305897828,0.0611967115879577,"RBX1/EIF3H/HSP90AB1",3
"GO:2000059","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process",0.0447761194029851,13.1949626865672,0.0745477305897828,0.0611967115879577,"RBX1/EIF3H/HSP90AB1",3
"GO:0048872","GO:0048872","homeostasis of number of cells",0.016260162601626,4.79166666666667,0.0745477305897828,0.0611967115879577,"B2M/OCIAD1/ETS1/HNRNPU/ANXA1/TSC22D3",6
"GO:0045861","GO:0045861","negative regulation of proteolysis",0.0266666666666667,7.85833333333333,0.0783463542949463,0.0643150262231174,"RBX1/EIF3H/CST3/HSP90AB1",4
"GO:0051341","GO:0051341","regulation of oxidoreductase activity",0.105263157894737,31.0197368421053,0.0840425847282199,0.0689910984282098,"NOSIP/GZMA",2
"GO:0010833","GO:0010833","telomere maintenance via telomere lengthening",0.0410958904109589,12.1104452054795,0.0853951769929566,0.070101450119218,"HNRNPU/PTGES3/HSP90AB1",3
"GO:0045623","GO:0045623","negative regulation of T-helper cell differentiation",0.0952380952380952,28.0654761904762,0.0913088970713865,0.0749560609730753,"CD69/ANXA1",2
"GO:0044843","GO:0044843","cell cycle G1/S phase transition",0.0181818181818182,5.35795454545454,0.0913088970713865,0.0749560609730753,"TMSB4X/CCNI/RBX1/ANXA1/ACTB",5
"GO:0043086","GO:0043086","negative regulation of catalytic activity",0.0240963855421687,7.10090361445783,0.0913088970713865,0.0749560609730753,"NOSIP/GZMA/HNRNPU/TAF7",4
"GO:0050863","GO:0050863","regulation of T cell activation",0.0148514851485149,4.37654702970297,0.0913088970713865,0.0749560609730753,"B2M/CD69/RIPOR2/ANXA1/HLA-DRA/ACTB",6
"GO:0043536","GO:0043536","positive regulation of blood vessel endothelial cell migration",0.0375,11.05078125,0.0913088970713865,0.0749560609730753,"TMSB4X/ETS1/ANXA1",3
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation",0.0365853658536585,10.78125,0.0913088970713865,0.0749560609730753,"CD69/ANXA1/HLA-DRA",3
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.0869565217391304,25.625,0.0913088970713865,0.0749560609730753,"HNRNPU/CNOT7",2
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion",0.0173010380622837,5.09839965397924,0.0913088970713865,0.0749560609730753,"B2M/ETS1/ANXA1/HLA-DRA/ACTB",5
"GO:0002396","GO:0002396","MHC protein complex assembly",0.0833333333333333,24.5572916666667,0.0913088970713865,0.0749560609730753,"B2M/HLA-DRA",2
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex",0.0833333333333333,24.5572916666667,0.0913088970713865,0.0749560609730753,"B2M/HLA-DRA",2
"GO:1901673","GO:1901673","regulation of mitotic spindle assembly",0.0833333333333333,24.5572916666667,0.0913088970713865,0.0749560609730753,"HNRNPU/RIPOR2",2
"GO:2000114","GO:2000114","regulation of establishment of cell polarity",0.0833333333333333,24.5572916666667,0.0913088970713865,0.0749560609730753,"RICTOR/RIPOR2",2
"GO:1903051","GO:1903051","negative regulation of proteolysis involved in protein catabolic process",0.0348837209302326,10.2797965116279,0.0913088970713865,0.0749560609730753,"RBX1/EIF3H/HSP90AB1",3
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation",0.0348837209302326,10.2797965116279,0.0913088970713865,0.0749560609730753,"CD69/ANXA1/HLA-DRA",3
"GO:2000736","GO:2000736","regulation of stem cell differentiation",0.0348837209302326,10.2797965116279,0.0913088970713865,0.0749560609730753,"TMSB4X/OCIAD1/HNRNPU",3
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen",0.08,23.575,0.0913088970713865,0.0749560609730753,"B2M/HLA-DRA",2
"GO:0043371","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation",0.08,23.575,0.0913088970713865,0.0749560609730753,"CD69/ANXA1",2
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly",0.08,23.575,0.0913088970713865,0.0749560609730753,"PTGES3/HSP90AB1",2
"GO:2000737","GO:2000737","negative regulation of stem cell differentiation",0.0769230769230769,22.6682692307692,0.0964079786204409,0.0791419298178035,"TMSB4X/HNRNPU",2
"GO:0042093","GO:0042093","T-helper cell differentiation",0.0333333333333333,9.82291666666667,0.0964079786204409,0.0791419298178035,"CD69/ANXA1/HLA-DRA",3
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response",0.0326086956521739,9.609375,0.0983062139534571,0.080700203413547,"CD69/ANXA1/HLA-DRA",3
"GO:1903706","GO:1903706","regulation of hemopoiesis",0.0135440180586907,3.99125282167043,0.0983062139534571,0.080700203413547,"B2M/CD69/ETS1/ANXA1/HLA-DRA/ACTB",6
"GO:0002287","GO:0002287","alpha-beta T cell activation involved in immune response",0.032258064516129,9.50604838709677,0.0983062139534571,0.080700203413547,"CD69/ANXA1/HLA-DRA",3
"GO:0002293","GO:0002293","alpha-beta T cell differentiation involved in immune response",0.032258064516129,9.50604838709677,0.0983062139534571,0.080700203413547,"CD69/ANXA1/HLA-DRA",3
