"","p_value","bonferroni_pval"
"ISG15",3.64851923823612e-43,7.17298882237221e-40
"IFI6",1.05667488059768e-40,2.07742281525504e-37
"ANXA2",1.26217482192635e-39,2.4814356999072e-36
"HNRNPL",3.88991618476647e-38,7.64757521925088e-35
"GNLY",5.002510224208e-38,9.83493510079294e-35
"IFITM3",1.46163767939038e-37,2.87357967768149e-34
"SP110",5.00083447599601e-36,9.83164057980816e-33
"HNRNPH1",7.78280293861469e-36,1.53009905773165e-32
"CHMP5",1.51261112539411e-35,2.97379347252482e-32
"UBE2L6",7.45753016911327e-35,1.46615043124767e-31
"LY6E",9.40698236605883e-33,1.84941273316717e-29
"BLVRA",2.86327533564825e-32,5.62919930988446e-29
"BIRC2",4.47637070438267e-31,8.80054480481633e-28
"LTB",1.05058466099717e-30,2.06544944352044e-27
"BST2",1.12444279609717e-30,2.21065453712704e-27
"MT2A",1.65219402756707e-30,3.24821345819686e-27
"FOXP1",1.80012604228997e-28,3.53904779914209e-25
"SSB",8.53643025917833e-28,1.67826218895446e-24
"TYMP",1.2742774079064e-27,2.50522938394398e-24
"CIRBP",1.0959880269794e-25,2.1547124610415e-22
"PLAC8",1.85023884050763e-25,3.63756956043799e-22
"PSMA7",4.44388458664154e-25,8.73667709733726e-22
"TNFSF13B",6.06405565108666e-25,1.19219334100364e-21
"BLVRB",2.03220228141476e-24,3.99530968526141e-21
"SRSF6",4.93046819791064e-24,9.69330047709232e-21
"MIF",8.42785301115133e-24,1.65691590199235e-20
"LAP3",1.82762826734254e-23,3.59311717359544e-20
"PABPC4",2.20375012649085e-23,4.33257274868102e-20
"MYL12B",2.57485503777214e-23,5.06216500426004e-20
"HNRNPA1",3.46219786652061e-23,6.80668100557953e-20
"ID1",5.2219929690922e-23,1.02664381772353e-19
"TNFSF10",1.11006937733147e-22,2.18239639583366e-19
"HNRNPDL",1.15881054725107e-22,2.2782215358956e-19
"TTC3",1.22920663932601e-22,2.41662025291494e-19
"MDM4",1.29641656805573e-22,2.54875497279757e-19
"ST13",1.36847047091534e-22,2.69041294581955e-19
"HLA-C",1.95349097916757e-22,3.84056326504345e-19
"CD3D",2.73255055332172e-22,5.3721943878305e-19
