"","p_value","bonferroni_pval"
"IFI6",2.15074948494791e-60,2.38518117880723e-57
"ISG15",3.30111797297131e-39,3.66093983202519e-36
"NKG7",6.847686520451e-35,7.59408435118016e-32
"LY6E",1.12403263680046e-31,1.24655219421171e-28
"ARPC3",1.22482627540642e-28,1.35833233942572e-25
"LDHA",3.91240970088344e-28,4.33886235827973e-25
"BST2",6.09658079107174e-26,6.76110809729855e-23
"CD8A",7.40045491289146e-26,8.20710449839663e-23
"TMSB4X",2.58441111821736e-25,2.86611193010305e-22
"GAPDH",3.6694261350367e-25,4.0693935837557e-22
"CIB1",4.39060402812706e-24,4.86917986719291e-21
"PSME2",1.52201438714669e-23,1.68791395534568e-20
"PSMB8",1.74103197386122e-23,1.93080445901209e-20
"GZMH",2.89507645145875e-22,3.21063978466775e-19
"HLA-DPB1",4.44151384117681e-22,4.92563884986508e-19
"MT-ND4L",8.02328139471264e-22,8.89781906673631e-19
"COX5A",8.14183578822483e-22,9.02929588914134e-19
"MT-ND3",1.00959546949955e-21,1.11964137567501e-18
"HLA-DPA1",1.68343790713183e-21,1.8669326390092e-18
"PSME1",3.33018516123582e-21,3.69317534381052e-18
"DRAP1",4.29238032273849e-21,4.76024977791698e-18
"DYNLRB1",1.13072270736468e-20,1.25397148246743e-17
"PLAAT4",1.1433231244225e-20,1.26794534498455e-17
"MYL12B",1.72674992731107e-20,1.91496566938798e-17
"HLA-A",4.23727445118216e-20,4.69913736636101e-17
"PSMA7",4.82365281828459e-20,5.34943097547761e-17
"MIF",6.39183720157932e-20,7.08854745655146e-17
"IFITM2",1.40513291896051e-19,1.5582924071272e-16
"ATF7IP2",2.25271490343025e-19,2.49826082790415e-16
"CYCS",4.7561831568992e-19,5.27460712100121e-16
"UBB",1.03811717047625e-18,1.15127194205816e-15
"KLF6",5.28804479559897e-18,5.86444167831926e-15
"TTC19",2.60238770449499e-17,2.88604796428495e-14
"LTB",7.56493157795999e-17,8.38950911995763e-14
"DBI",1.10608980991584e-16,1.22665359919667e-13
"COX8A",1.40690339618665e-16,1.560255866371e-13
"LST1",1.42848746360464e-16,1.58419259713755e-13
"HNRNPH1",1.63919126110048e-16,1.81786310856043e-13
"ANXA6",3.06983635136433e-16,3.40444851366304e-13
"PSMD8",3.82534182295466e-16,4.24230408165672e-13
"HLA-DRB1",4.09679334035828e-16,4.54334381445733e-13
"RHOG",1.14675716678506e-15,1.27175369796463e-12
"SET",1.48292804425674e-15,1.64456720108073e-12
"FBL",1.84943418139555e-15,2.05102250716766e-12
"B2M",3.35303470150825e-15,3.71851548397265e-12
"HNRNPA1",3.63969863899442e-15,4.03642579064481e-12
"SH3BGRL3",3.75192724560281e-15,4.16088731537351e-12
"IFI27L2",3.8887581347804e-15,4.31263277147146e-12
"EIF2S3",4.39016515024681e-15,4.86869315162372e-12
"HADHA",5.45683698416864e-15,6.05163221544302e-12
"ATM",5.90584579522201e-15,6.54958298690121e-12
"PSMB9",5.96932406716903e-15,6.61998039049046e-12
"REEP5",6.66201012049707e-15,7.38816922363126e-12
"ST13",1.45504722938281e-14,1.61364737738554e-11
"TC2N",1.87461349059515e-14,2.07894636107002e-11
"MIEN1",3.26735718305259e-14,3.62349911600532e-11
"CLIC1",3.62928050725588e-14,4.02487208254677e-11
"CIRBP",3.77516464206391e-14,4.18665758804888e-11
"SP110",4.0880343049932e-14,4.53363004423746e-11
"PCBP2",4.29086379134815e-14,4.75856794460509e-11
"TLE4",4.350449933833e-14,4.8246489766208e-11
"SAT1",6.30404737044073e-14,6.99118853381877e-11
"LGALS1",6.89834194004234e-14,7.65026121150696e-11
"SVIP",7.72932258185622e-14,8.57181874327854e-11
"MYL6",8.59512212676365e-14,9.53199043858089e-11
"SP100",9.98870491505014e-14,1.10774737507906e-10
"MT-CO2",1.16572059157555e-13,1.29278413605729e-10
"TMEM50A",1.45580634172292e-13,1.61448923297071e-10
"RHOA",1.51826427252109e-13,1.68375507822589e-10
"CALM1",1.66942261755108e-13,1.85138968286415e-10
"IRF1-AS1",2.12479773077512e-13,2.3564006834296e-10
"TAGLN2",2.15927104432095e-13,2.39463158815193e-10
"MDM4",3.01300278588541e-13,3.34142008954692e-10
"MT-ND4",3.10137544357947e-13,3.43942536692963e-10
"CD99-ENSG00000002586",3.10577406746175e-13,3.44430344081508e-10
"GSTK1",3.21192276193221e-13,3.56202234298282e-10
"CD53",3.29701927899803e-13,3.65639438040881e-10
"SRSF6",3.83103309648333e-13,4.24861570400001e-10
"SNHG25",3.96324623511804e-13,4.39524007474591e-10
"PDCD4",4.21651613092759e-13,4.6761163891987e-10
"EIF4B",4.57268274940626e-13,5.07110516909154e-10
"AAK1",4.61197815715739e-13,5.11468377628754e-10
"CFL1",4.82485522719046e-13,5.35076444695422e-10
"TNRC6B",4.96676616720168e-13,5.50814367942666e-10
"PPP1CA",5.04157221946185e-13,5.59110359138319e-10
"MT-CYB",5.60993844006429e-13,6.2214217300313e-10
"HSP90AA1",6.00638287038483e-13,6.66107860325678e-10
"UBC",7.05743097438217e-13,7.82669095058983e-10
"IL7R",1.09289358459358e-12,1.21201898531428e-09
"TTC3",1.12457164141088e-12,1.24714995032467e-09
"CHCHD2",1.14507039398958e-12,1.26988306693444e-09
"FOXP1",1.16214148134945e-12,1.28881490281654e-09
"BCL11B",1.26763923058602e-12,1.40581190671989e-09
"PHPT1",1.27181959781097e-12,1.41044793397237e-09
"PFDN5",1.43379674371238e-12,1.59008058877703e-09
"ARPC2",2.12454591903242e-12,2.35612142420695e-09
"TYROBP",2.31713186507171e-12,2.56969923836452e-09
"SORL1",2.33150664275007e-12,2.58564086680982e-09
"UFM1",2.48172949826143e-12,2.75223801357193e-09
"PTPRCAP",3.00733407951527e-12,3.33513349418243e-09
"ARPC4",3.49866797557425e-12,3.88002278491185e-09
"ZFP36",4.12900342320872e-12,4.57906479633847e-09
"SNHG9",4.17101610846833e-12,4.62565686429138e-09
"FLNA",4.21017701108203e-12,4.66908630528997e-09
"CARD16",4.41442933234567e-12,4.89560212957134e-09
"GZMM",5.15424600530357e-12,5.71605881988166e-09
"EIF3L",5.86237159615662e-12,6.50137010013769e-09
"FAM107B",5.88351141222702e-12,6.52481415615977e-09
"ZC3HAV1",6.76256387022841e-12,7.49968333208331e-09
"BAZ1A",8.5736224591477e-12,9.5081473071948e-09
"HSD17B11",9.11897916903801e-12,1.01129478984632e-08
"TRAPPC1",9.34000099052336e-12,1.03580610984904e-08
"S100A10",1.00130858849234e-11,1.11045122463801e-08
