"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","bonferroni"
"ISG15",1504.842158303,2.05871174087184,0.139068205138337,14.8036119314544,1.38823293294972e-49,1.36463297308957e-46,2.72926594617914e-46
"RER1",176.428589724562,0.156746710376219,0.0367855778074354,4.2610914309068,2.03430980777858e-05,5.99618153237284e-05,0.0399945308209269
"ENO1",837.136470378369,0.210314390738274,0.030465312878739,6.90340491743472,5.07706433931257e-12,4.07408509840347e-11,9.9815084910885e-09
"AGTRAP",451.274043039899,0.21167584986033,0.0306532033415077,6.90550502999789,5.00251359368718e-12,4.03071382179877e-11,9.83494172518899e-09
"SDHB",180.255215525142,0.374589315175898,0.0441441944969647,8.48558501167473,2.14636145142836e-17,3.9436884238394e-16,4.21974661350816e-14
"CAPZB",551.331101767868,0.193599679829596,0.0271002103068588,7.14384418561496,9.07562741814238e-13,8.57821322310958e-12,1.78426835040679e-09
"TMEM50A",472.564624327645,0.246845693422129,0.0457605148554019,5.39429449607667,6.87933098010039e-08,2.97247575975327e-07,0.000135247647068774
"NUDC",141.395817749759,0.188554960341229,0.0307261371739304,6.13663081935363,8.42899570769341e-10,5.03690138642105e-09,1.65714055613252e-06
"WASF2",248.859395038505,-0.17273257543825,0.0393601619555123,-4.38851282252052,1.14128406899807e-05,3.50177852881643e-05,0.0224376447965021
"FGR",533.137945984287,0.113117822571137,0.0241901869534418,4.67618637213728,2.92259014755423e-06,9.94085160915506e-06,0.00574581223009162
"IFI6",1391.18606693891,2.17775682289176,0.140728762616381,15.474852350036,5.12908159301794e-54,1.00837744118733e-50,1.00837744118733e-50
"THEMIS2",274.84972031855,0.231882886985046,0.0490792099769312,4.72466625061892,2.30493585574732e-06,7.92220960209657e-06,0.00453150389239924
"DNAJC8",246.608210858485,0.213844340665091,0.0364374304822261,5.86880956848487,4.38935227671487e-09,2.28384725856251e-08,8.62946657602143e-06
"LAPTM5",1504.09181607769,0.126725192918615,0.0288608917274635,4.39089665403599,1.12884187215082e-05,3.47853153706662e-05,0.0221930312064851
"RBBP4",159.013311234457,-0.187465221828046,0.034958594766392,-5.36249306016924,8.20811229450189e-08,3.51571868649035e-07,0.000161371487709907
"SFPQ",366.038824837173,-0.152302512833194,0.0333308283611991,-4.56941877299669,4.89078668952958e-06,1.61060077581493e-05,0.00961528663161516
"PSMB2",220.413483036051,0.248000547698768,0.0398875266355174,6.21749626054625,5.05150195199975e-10,3.10351651175984e-09,9.9312528376315e-07
"LSM10",180.50487011719,0.19665837132182,0.0381762888912441,5.15132237924059,2.58656125385681e-07,1.03567809064816e-06,0.000508517942508248
"CSF3R",588.787017557236,-0.275663007721612,0.036786385716519,-7.49361488910352,6.70021302030208e-14,7.4421575129457e-13,1.31726187979139e-10
"PABPC4",169.900864660388,-0.420857735554347,0.0497098711678226,-8.4662809552154,2.53352615758168e-17,4.56964442734456e-16,4.98091242580557e-14
"CAP1",605.502056199222,0.132755163443441,0.0240453008277647,5.52104398253776,3.3699140635316e-08,1.51261439472674e-07,6.62525104890314e-05
"PRDX1",426.925820032745,0.330374416099937,0.0393232402857613,8.40150541255278,4.40790855720249e-17,7.73745377094652e-16,8.6659482234601e-14
"AKR1A1",205.411234351075,0.201504547059892,0.035201965201132,5.72424141403935,1.03896922883131e-08,5.08112811911035e-08,2.04261350388236e-05
"TXNDC12",120.610698962148,0.247118846394765,0.0359041557244785,6.88273659158306,5.87135358861326e-12,4.65446820774745e-11,1.15430811552137e-08
"TMEM59",556.372567761183,0.306038096105008,0.0533210515825698,5.73953601854786,9.49362909812318e-09,4.70137904456176e-08,1.86644748069102e-05
"LEPROT",168.811722650833,0.19663907770965,0.0302478448985714,6.5009285246281,7.98257549570444e-11,5.56515724274998e-10,1.56937434245549e-07
"ENSG00000273338.1",486.877843917999,-0.35515484381471,0.0780516869644912,-4.55025198848404,5.35817087893186e-06,1.74406687880464e-05,0.01053416394798
"GNG5",681.325497584249,0.191927193860073,0.0408125772054982,4.7026482276208,2.56808654427358e-06,8.76537872576713e-06,0.00504885814604187
"SH3GLB1",245.468268969156,0.144437639100371,0.0310205659137471,4.65618968725395,3.22115179066677e-06,1.09185938283636e-05,0.00633278442045087
"PKN2",123.399238025524,-0.211097855630955,0.0382223925674531,-5.52288439972509,3.33479157698732e-08,1.50027465454395e-07,6.55620024035707e-05
"EVI5",101.015059577452,-0.250017841501211,0.0308679612789063,-8.09959035655723,5.51445565017701e-16,8.33955369865231e-15,1.0841419808248e-12
"PSMA5",179.109062483016,0.281674712688794,0.0449746570669686,6.26296521326158,3.77724907257488e-10,2.39550699247813e-09,7.42607167668221e-07
"CD53",440.752117176375,0.302066267924023,0.0395019536475836,7.64686907941073,2.05931800584518e-14,2.49914765400718e-13,4.04861919949163e-11
"C1orf162",1028.26964456314,0.224125642217817,0.0392326088659501,5.71273868081545,1.11172328220723e-08,5.35698032553777e-08,2.18564797281941e-05
"CSDE1",392.485491957441,-0.232891832101109,0.0322728081640907,-7.21634854075832,5.34020798150643e-13,5.19744994635725e-12,1.04988488916416e-09
"CD58",100.86138044539,0.246281303254519,0.039569993810054,6.22394090928422,4.84819740405805e-10,2.98794861955427e-09,9.53155609637812e-07
"NOTCH2",189.284716839212,-0.159546063174464,0.0363560857597668,-4.3884279575285,1.1417294186019e-05,3.50177852881643e-05,0.0224464003697133
"FCGR1A",183.077715824382,0.828529822757677,0.0699185388827431,11.8499304475908,2.15369487906917e-32,2.35231340680555e-30,4.23416413224999e-29
"PSMD4",246.412632711857,0.189901797403403,0.0389330217372773,4.87765369677376,1.07355190176777e-06,3.93035947649056e-06,0.00211060303887543
"PSMB4",180.950702839407,0.155180994219193,0.0290523419631267,5.34142804790572,9.22172181126719e-08,3.92422187899379e-07,0.000181299050809513
"S100A10",3484.0612592701,0.400222935672702,0.0422960553014027,9.46241754274018,3.00904333662957e-21,8.69967529384374e-20,5.91577919981374e-18
"S100A11",4105.51235914593,0.292569045259622,0.0420915424241716,6.9507798576564,3.63272375269666e-12,3.06838189095513e-11,7.14193489780163e-09
"S100A9",47733.7041442375,0.501451211873457,0.0473396874447895,10.5926177154904,3.22446389241301e-26,1.71332324661729e-24,6.33929601248398e-23
"S100A6",14907.3035894615,0.23248238389501,0.0345086428286311,6.73693210855932,1.6176571691637e-11,1.21851110903289e-10,3.18031399457583e-08
"S100A4",16219.4385800298,0.194559296947704,0.0409515236051201,4.75096601591105,2.02447157843259e-06,7.03199845088071e-06,0.00398011112319848
"C1orf43",170.057810424805,0.222845439314136,0.0342291732352331,6.51039503007201,7.49534309883052e-11,5.28166470691785e-10,1.47358445323008e-07
"ADAR",227.360055542068,0.421652192582401,0.0473121853409321,8.91212675009559,5.00628556671503e-19,1.1444601656002e-17,9.84235742416175e-16
"KRTCAP2",263.554654302976,-0.266386937295478,0.0585108965581092,-4.55277483281974,5.2942929283829e-06,1.72613265293545e-05,0.0104085798972008
"ASH1L",110.392292203601,-0.243526922500092,0.041879146324152,-5.81499251716237,6.06365984565532e-09,3.08040187507968e-08,1.19211552565584e-05
"SSR2",510.378025450302,0.174072516086757,0.0270060062506872,6.44569635624399,1.1507083881076e-10,7.88255293038165e-10,2.26229269101953e-07
"IFI16",489.980027881016,0.553053052873019,0.0580619007268058,9.52523162263076,1.64674281868127e-21,5.05858809613654e-20,3.23749638152738e-18
"TAGLN2",744.411021789668,0.253988409625472,0.0476618948879485,5.32896164163405,9.87758534552922e-08,4.18520103217898e-07,0.000194193327893105
"CD48",787.868072017354,0.23940474705594,0.0356914417341414,6.70762332435937,1.97819761122466e-11,1.45660543208528e-10,3.88913650366769e-08
"FCER1G",4156.47901632745,0.408764690363981,0.0509812402939195,8.01794322788835,1.07530482539381e-15,1.54310166914177e-14,2.11404928672422e-12
