"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","bonferroni"
"ISG15",345.927640797834,1.40455912447727,0.100750953567259,13.9409015472953,3.57396943099027e-44,1.98176604948411e-41,3.96353209896821e-41
"AURKAIP1",152.695464782408,0.178151090216829,0.0308996253765201,5.76547734951512,8.14270381041601e-09,5.94095955641536e-08,9.03025852575135e-06
"PARK7",323.422149083114,0.173007675507924,0.0341373662067269,5.0679854579359,4.02048112517779e-07,1.95557612623779e-06,0.000445871356782217
"ENO1",373.530186229378,0.235133619111514,0.0372108969086147,6.31894521889576,2.63354604276632e-10,2.72953510413817e-09,2.92060256142785e-07
"CAPZB",366.351188411629,0.163815642030172,0.0270638418271921,6.05293376587724,1.42231359062342e-09,1.23230138437608e-08,1.57734577200138e-06
"RSRP1",288.178190378618,0.168781660669808,0.0403277185080978,4.18525190399543,2.8485003320861e-05,9.96525825956936e-05,0.0315898686828349
"TMEM50A",198.843716737536,0.259548579642472,0.0428491972776098,6.05725652130466,1.38462691190547e-09,1.20909546874265e-08,1.53555124530317e-06
"SH3BGRL3",1800.68091631565,0.352685343941185,0.0517545365634173,6.81457834153385,9.45406444741455e-12,1.39794099629103e-10,1.04845574721827e-08
"IFI6",257.768902640094,1.39108240767063,0.0937789092264912,14.8336381724268,8.87875150404629e-50,9.84653541798733e-47,9.84653541798733e-47
"PTP4A2",255.893175494722,0.29827969167607,0.0555013114773143,5.37428186355541,7.68885021602424e-08,4.4411119216515e-07,8.52693488957088e-05
"PRDX1",141.598020664622,0.227626734522188,0.0369369231428821,6.16257974822824,7.15692663087114e-10,6.72629799460686e-09,7.93703163363609e-07
"SCP2",181.245463278957,0.202158902248489,0.0488230222385066,4.1406470345264,3.46327528151336e-05,0.000118177608836871,0.0384077228719832
"JUN",1194.85526139814,0.529252711655773,0.0947115516822652,5.58804815521649,2.29635973519316e-08,1.52494787205342e-07,2.54666294632922e-05
"GNG5",163.386117796464,0.240124818379054,0.0457666211899484,5.24672375053528,1.5482778453291e-07,8.50019866569292e-07,0.000171704013046997
"LAMTOR5",175.080653440543,0.214356671038949,0.0426018385480351,5.03162958089836,4.86328226875854e-07,2.33479655240399e-06,0.000539338003605322
"CD53",355.372528715565,0.302469395196437,0.0404447271914682,7.47858660943677,7.51261833883594e-14,1.77265824207852e-12,8.33149373776906e-11
"RAP1A",176.847193354751,0.108239779974551,0.0241889292034018,4.47476525580674,7.64953077889762e-06,2.99764298014044e-05,0.00848332963379746
"CSDE1",189.647005456828,-0.288303610132979,0.041845851333071,-6.88965813691384,5.59266237403581e-12,8.61425357334127e-11,6.20226257280572e-09
"CD2",526.154613344053,0.289150677427967,0.0496033498469292,5.82925706268338,5.56746833384869e-09,4.28772387655431e-08,6.1743223822382e-06
"ANP32E",133.360369193526,-0.179135153032156,0.0293935506368975,-6.09436931403887,1.0986974614019e-09,9.74764387755764e-09,1.2184554846947e-06
"MCL1",157.678868859358,0.208924597596703,0.0492334848700434,4.24354680860353,2.20014454306351e-05,7.87083967179816e-05,0.0243996029825743
"CDC42SE1",220.370375825087,-0.325185885910828,0.0687130390495507,-4.73252079094229,2.21748582803612e-06,9.31512039125779e-06,0.00245919178329206
"S100A10",762.043737901387,0.265086987227799,0.0424358595827902,6.24676841317724,4.19031636808222e-10,4.14916147518141e-09,4.64706085220318e-07
"S100A11",275.202307729126,0.412208777975091,0.0750186317794224,5.49475201290142,3.91259827297592e-08,2.43768060939904e-07,4.3390714847303e-05
"S100A6",1953.21537999346,0.20423873420356,0.0490242981006613,4.16607156280336,3.09893458928683e-05,0.000106730386941587,0.034367184595191
"KRTCAP2",210.114300558841,-0.295311166560359,0.0609875283590625,-4.8421566590094,1.28437438036729e-06,5.72036621617397e-06,0.00142437118782732
"ASH1L",100.884054277854,-0.228833032900865,0.0437230372534384,-5.23369480428465,1.66154716271014e-07,8.9885648948563e-07,0.000184265580344554
"LAMTOR2",105.874107879857,0.311420296691445,0.0472366986872487,6.59276167357377,4.31719321727387e-11,5.20409486734426e-10,4.78776727795672e-08
"IFI16",230.514395256181,0.364137481890902,0.0526191074023937,6.92025197436809,4.50841010274989e-12,7.46242806559645e-11,4.99982680394962e-09
"TAGLN2",309.274865566452,0.317617231354515,0.0435915515270009,7.28621075021341,3.18794159569792e-13,6.54708746227592e-12,3.535427229629e-10
"UFC1",256.18476242006,0.163816499480556,0.0258450368458827,6.33841230165061,2.32144915255959e-10,2.49950204872678e-09,2.57448711018858e-07
"MPC2",92.613705102241,0.223257461810114,0.035581783851022,6.27448760705406,3.50787569253053e-10,3.60206865094108e-09,3.89023414301636e-07
"BTG2",168.684493065636,0.407296119071933,0.0847906648339588,4.8035490683971,1.55877666631594e-06,6.77915028605638e-06,0.00172868332294438
"MDM4",140.505571272514,-0.293799210020421,0.0480179407307672,-6.11852998169434,9.44425151311206e-10,8.58497944921416e-09,1.04736749280413e-06
"NENF",81.4573929822827,0.177480783308338,0.0356779459142254,4.9745235820197,6.54083018631199e-07,3.08671518154042e-06,0.000725378067662
"H3-3A",1174.67844200889,0.0902226247989853,0.0218390267662338,4.13125666105609,3.60785477861856e-05,0.000121818607940285,0.0400111094948798
"GUK1",467.55193954885,0.155290929461493,0.0328733993165992,4.72390846976024,2.31354575954275e-06,9.6819707446525e-06,0.00256572224733291
"ARID4B",191.265669071546,0.192490269633835,0.0327497843295933,5.87760419111822,4.1624672567621e-09,3.30298485213651e-08,4.61617618774917e-06
"YWHAQ",216.231574648813,0.262718813111047,0.0530517478346147,4.95212361202604,7.3407947335488e-07,3.44955142351933e-06,0.000814094135950562
"HADHA",126.247919635961,-0.274240748724173,0.0362098826209783,-7.57364368160894,3.62898924626614e-14,8.74901972632423e-13,4.02454907410915e-11
"AAK1",247.287303101619,-0.334375531372159,0.0515411453736779,-6.48754560939433,8.7245933399465e-11,9.67557401400067e-10,9.67557401400067e-08
"TMSB10",9423.9591094661,0.151056142680785,0.0292507339627642,5.16418298676121,2.41491369157919e-07,1.23416556864577e-06,0.000267813928396132
"VAMP8",296.920218920287,0.183155154202818,0.0430544907968722,4.25403136381127,2.09955874190733e-05,7.53530953001692e-05,0.0232841064477523
"VAMP5",179.744313181547,0.169198398549418,0.0405725497163407,4.17026782226786,3.04241878294029e-05,0.000105110356083513,0.0337404243028078
"RNF181",119.309217755009,0.246152752603338,0.0536168581775085,4.59095816074124,4.41215785769749e-06,1.77930293243146e-05,0.00489308306418652
"CD8A",320.013569941668,0.466048255236549,0.0433475111598576,10.7514420728297,5.83422543021355e-27,7.18906222456314e-25,6.47015600210683e-24
"COX5B",515.151548014971,0.144717857681137,0.0338402777364991,4.27649733870385,1.89856825477053e-05,6.85834591055545e-05,0.0210551219454052
"MGAT4A",278.707906912262,-0.368082837326385,0.0677910251362318,-5.42966914258475,5.64586217856842e-08,3.34826799787828e-07,6.26126115603238e-05
"DBI",354.809421859627,0.291078583174824,0.0507636930343801,5.73399147650051,9.80942629957635e-09,7.06406088716245e-08,1.08786537662302e-05
"ARL5A",117.308709782644,0.154551778233014,0.0351788430602782,4.39331611810522,1.11634616225682e-05,4.22535117386627e-05,0.0123802789394282
"CYTIP",217.57462355664,0.268319481145262,0.0459144643697365,5.84389875453101,5.09930275003846e-09,3.98248362661455e-08,5.65512674979266e-06
"SSB",169.537142287037,0.10288617773284,0.0246543773109335,4.17314038944365,3.00429690677592e-05,0.000104117664675453,0.0333176526961449
"ATP5MC3",279.09519481477,0.158549572158923,0.0303220079238054,5.22886124683215,1.70557304979462e-07,9.18194423408851e-07,0.000189148051222223
"CLK1",183.581452457574,0.272235170384487,0.0504728061341235,5.39369991953816,6.90214513196971e-08,4.03850620717703e-07,7.65447895135441e-05
"ARPC2",845.129431012419,0.210557034170537,0.0364523245722811,5.77623064210966,7.63926398621525e-09,5.68586829578035e-08,8.47194376071272e-06
