"","logFC","logCPM","F","PValue","bonferroni"
"PSMA7",0.399211621556382,9.0233198770588,204.605910090745,5.639567184767e-34,1.10873890852519e-30
"ANXA2",0.530056996195988,9.55078647515024,197.314111431349,4.14004245484485e-33,8.13932346622498e-30
"SP110",0.815879572296776,7.42025923189238,194.413304432635,9.24560008262709e-33,1.81768497624449e-29
"IFI6",2.19404412565624,9.76497482267401,184.99568335407,1.29832505640595e-31,2.5525070608941e-28
"ISG15",2.07359292871458,9.87704736513652,176.754344053773,1.37768925363166e-30,2.70853707263984e-27
"UBE2L6",0.97334628577207,7.66027504383233,175.410483033091,2.03539171819707e-30,4.00158011797543e-27
"CREG1",0.498019689682809,7.08196728203773,164.27026586764,5.41116561770323e-29,1.06383516044046e-25
"IFITM3",2.08252865020673,10.4352211757741,159.719541355756,2.11949320190614e-28,4.16692363494747e-25
"BLVRA",0.798987972125442,7.78197776643832,156.505967553165,5.61834397643004e-28,1.10456642576615e-24
"LAP3",0.962240693148486,7.73464309459216,156.101479630085,6.35573253751969e-28,1.24953701687637e-24
"LY6E",1.74786347836044,9.7642008493197,150.629040776638,3.40742928017225e-27,6.69900596481864e-24
"GNLY",-0.595880543215654,7.35700553974558,146.484428663036,1.23616446995208e-26,2.43029934792579e-23
"SP100",0.479735538407619,7.20225905282325,145.079882613473,1.91930948468093e-26,3.7733624468827e-23
"PLAC8",1.06038394732215,8.5326426192889,144.686371669637,2.17024755115955e-26,4.26670668557967e-23
"ID1",1.05034650290724,7.09544114033295,143.29401816942,3.3662772877309e-26,6.61810114767894e-23
"STAT1",0.885369396963971,7.79849614094183,142.244491916134,4.68463874784273e-26,9.2099997782588e-23
"TNFSF10",1.06633217562644,7.99041126393007,141.048290226452,6.84048987884475e-26,1.34484031018088e-22
"FCGR1A",0.841279612057876,6.8551235887549,139.394509031573,1.1579845906552e-25,2.27659770522813e-22
"BST2",0.720213908269068,8.5488242379087,135.218748215546,4.40501074445332e-25,8.66025112359523e-22
"CLTA",0.33120052441946,8.02934560375388,134.921559144572,4.84804331446928e-25,9.53125315624661e-22
"SSB",0.600764199178387,7.34629495822862,133.484815510934,7.71341780685831e-25,1.51645794082834e-21
"TYMP",0.765808471569411,10.6712578820027,133.230035797784,8.37154098800538e-25,1.64584495824186e-21
"STAT2",0.676265394194304,6.52000343811591,132.81336320549,9.59757871186326e-25,1.88688397475232e-21
"MT2A",1.46649161129259,10.0108653857469,129.192320315841,3.11734842837269e-24,6.12870701018071e-21
"DECR1",0.452603189412334,6.7146875693407,128.178839761026,4.35099431939395e-24,8.5540548319285e-21
"BLVRB",0.383499241879324,8.919857560926,127.304203709846,5.79409230918832e-24,1.13911854798642e-20
"CHMP5",0.762677697741127,7.0281219427024,125.217131202248,1.15490083862981e-23,2.27053504874621e-20
"NMI",0.611469595146075,6.96294911834348,123.259780046397,2.21179218652448e-23,4.34838343870714e-20
"DYNLRB1",0.334953189796563,7.22774710240106,119.966776788621,6.65135123951662e-23,1.30765565368897e-19
"RGS10",0.31316803304047,7.92247105301176,119.610215888373,7.49583449474839e-23,1.47368106166753e-19
"SQOR",0.477124509042111,6.80271959777178,116.35266213453,2.25521292657393e-22,4.43374861364435e-19
"PSMD7",0.357580492821698,6.97733123152543,116.002316557839,2.53970264878497e-22,4.99305540751125e-19
"TNFSF13B",0.582665440659386,9.12907583727784,115.156835081801,3.3840141759703e-22,6.65297186995761e-19
"S100A9",0.513495722632657,14.8572050799776,113.902648696034,5.19177037073994e-22,1.02070205488747e-18
"TRIM22",0.732970808764701,7.0787528307262,113.776784562143,5.42390920837274e-22,1.06634055036608e-18
"HNRNPL",-0.428266135151037,6.30334447411246,112.959429013573,7.18018429364271e-22,1.41162423213016e-18
"CST3",0.424231289009857,12.1685872155845,109.652750713358,2.24031235869901e-21,4.40445409720225e-18
"IGSF6",0.554833559389518,8.41631878478961,109.125267412572,2.68975951803403e-21,5.2880672124549e-18
"HLA-C",0.556599814294488,11.0756614427049,109.061322157084,2.7498211456953e-21,5.40614837243697e-18
"SNX6",0.291132184159401,7.11245288171161,108.656064606061,3.166666463721e-21,6.22566626767549e-18
"PHF11",0.495824312977098,6.63443887186483,107.945393040189,4.0557595095873e-21,7.97362319584863e-18
"RHOG",0.312751291318513,8.42314469298468,106.30250594371,7.18672042525364e-21,1.41290923560487e-17
"SBDS",0.745050697668382,6.78273176593867,104.268950621741,1.46754367592519e-20,2.88519086686892e-17
"CTSD",0.424600341267096,9.2763291896317,103.651443810724,1.82239488586526e-20,3.58282834561111e-17
"LGALS9",0.512452020240542,7.88990526461243,101.77732178556,3.53473563900779e-20,6.94929026628931e-17
"GSTK1",0.316251012588926,8.47600507363156,100.790358803238,5.01689528312744e-20,9.86321612662855e-17
"GRN",0.453981428272844,9.46037928657864,98.0807424290165,1.31957729344951e-19,2.59428895892173e-16
"MIF",-0.699485487909572,7.52231186766891,97.4923737477549,1.6300462454656e-19,3.20467091858537e-16
"APBB1IP",0.371324904144129,6.68853846448079,96.2224339563162,2.57527244419369e-19,5.06298562528479e-16
