"","logFC","logCPM","F","PValue","bonferroni"
"IFI6",1.40517347692735,8.43222101226528,202.839263895359,1.33340149400518e-33,1.47874225685175e-30
"ISG15",1.42124616681193,8.85340774273132,175.697660665889,2.55602865027658e-30,2.83463577315673e-27
"DYNLRB1",0.373235164257087,7.6993120073022,138.787213908771,1.75461847904584e-25,1.94587189326183e-22
"LY6E",0.829225683615748,9.66766372717452,133.086484638138,1.08016105598289e-24,1.19789861108503e-21
"PSMA7",0.355751603981204,8.92681678379875,126.470479398329,9.25130364755613e-24,1.02596957451397e-20
"SP110",0.470110596280188,7.8928437505043,124.797526452771,1.60393088888537e-23,1.77875935577387e-20
"CD8A",0.476599952775533,8.74371902209336,117.472091068543,1.83269465757933e-22,2.03245837525548e-19
"BST2",0.615463131175618,8.0457682015683,116.59586723026,2.4627936890028e-22,2.73123820110411e-19
"PLAAT4",0.359584212539854,9.3670023279142,110.258941045012,2.12458303165633e-21,2.35616258210687e-18
"LDHA",0.374542065092162,8.45220362410008,109.315482561112,2.9397349078303e-21,3.26016601278381e-18
"ARPC3",0.316558489613593,9.85325033362482,104.662077038278,1.47536110603614e-20,1.63617546659408e-17
"PSMB8",0.38218251891378,8.35746260529126,99.2980191441426,9.75497976826518e-20,1.08182725630061e-16
"HSP90AA1",0.343655652417264,10.0427288776385,95.7292623657406,3.48540658574729e-19,3.86531590359375e-16
"MT-ND4L",-0.675347902655989,9.43657601043895,95.2050980912521,4.20779933214051e-19,4.66644945934383e-16
"SP100",0.420861253792171,8.23420709254699,92.6229274907556,1.06910301986801e-18,1.18563524903362e-15
"GAPDH",0.372309528745343,10.4161691705164,91.9649517827305,1.35674023535973e-18,1.50462492101395e-15
"PSME2",0.509136052647731,9.15847410374653,90.6971807786423,2.15239881179934e-18,2.38701028228547e-15
"KLF6",0.735868074401642,9.16113669968492,82.3683863040313,4.67519827233788e-17,5.18479488402271e-14
"MT-ND3",-0.55360298627174,12.6254288289959,82.2964471411743,4.80228501763172e-17,5.32573408455358e-14
"ATF7IP2",-0.62289398775172,7.72917917912758,80.54190456955,9.29167711945689e-17,1.03044699254777e-13
"BAZ1A",0.295184157674124,7.33095055959406,78.6297808730625,1.91542569927691e-16,2.12420710049809e-13
"ANXA6",0.432466423481704,8.06253638598861,78.3158190120332,2.15635161224386e-16,2.39139393797844e-13
"HLA-A",0.411661341738059,12.2949129618113,77.3433923985319,3.11983824183345e-16,3.45990061019329e-13
"MIF",-0.66552666542162,8.82521728380632,76.3343880103485,4.58576024650557e-16,5.08560811337467e-13
"PSME1",0.286456035351627,10.0899960314423,75.9863133409203,5.23799524347972e-16,5.80893672501901e-13
"RHOG",0.333254121469171,7.57605406135018,74.5264382869017,9.17713434649874e-16,1.01774419902671e-12
"PSMD8",0.331427508521812,7.55918838986301,74.3001216373584,1.00121109514887e-15,1.1103431045201e-12
"GSTK1",0.253561776420996,9.02823764016733,71.706765186689,2.72665750826534e-15,3.02386317666626e-12
"HLA-DPB1",0.576978623117985,9.12239155495939,71.1558923927551,3.3776309671125e-15,3.74579274252777e-12
"CIB1",0.299338938140365,8.64092450539365,71.1527241263326,3.38206470845377e-15,3.75070976167523e-12
"YWHAB",0.169271830790123,8.93688754121784,70.0029476247812,5.29424128486782e-15,5.87131358491841e-12
"HLA-DPA1",0.601189097252421,8.53450375001993,69.6450651740337,6.0897212935725e-15,6.75350091457191e-12
"DRAP1",0.342270758276343,8.76218686819542,68.88946290969,8.18586653485815e-15,9.07812598715768e-12
"IFITM2",0.474133156283475,10.0563234988082,68.8179104134741,8.41772022138328e-15,9.33525172551406e-12
"MIEN1",0.37182373254801,7.02532063410104,63.527548275693,6.84308718124718e-14,7.58898368400313e-11
"EIF2S3",-0.401202192030745,8.25408896190692,62.8633736547673,8.91711815556707e-14,9.88908403452388e-11
"PCBP2",-0.209705347053362,8.95352395929812,61.7501039773072,1.39385071867518e-13,1.54578044701077e-10
"REEP5",0.362524078603123,7.2605864127403,61.0269491022103,1.86639127720589e-13,2.06982792642133e-10
"KLRB1",-0.925667258790547,10.2724618127339,60.4450984499895,2.35853887316312e-13,2.6156196103379e-10
"ARPC4",0.347883444815387,8.12317339711365,59.9415150435876,2.8920500633268e-13,3.20728352022942e-10
"LST1",-0.364011222764298,7.70214428446018,59.6148276453686,3.30168515962631e-13,3.66156884202558e-10
"TC2N",-0.317410482892657,6.9987430193346,58.9792093830703,4.27539663804394e-13,4.74141487159073e-10
"UBB",0.251441271646326,10.8877494060644,58.3510173902861,5.51469281047323e-13,6.11579432681481e-10
"COX5A",0.286039919347722,8.04279311096595,58.2699414311531,5.70136492645199e-13,6.32281370343526e-10
"VIM",0.356517410651705,9.82721407321685,56.6777962219047,1.09225006715994e-12,1.21130532448037e-09
"CD53",0.308647712218694,8.89073002723855,56.2678234493489,1.29226657563709e-12,1.43312363238153e-09
"SH3BGRL",0.186393335638214,8.2777698949192,55.7819503787239,1.57780790818908e-12,1.74978897018169e-09
"MSN",0.289703047008708,8.13082479500556,55.3116322823421,1.9147275080397e-12,2.12343280641603e-09
"GZMH",1.01860141583301,10.3003242109622,55.1429833982341,2.05204366420466e-12,2.27571642360297e-09
"TAGLN2",0.32685467217637,8.69333968123967,54.22796715663,2.99398600434083e-12,3.32033047881398e-09
"NSD3",0.300821691551175,7.73932813538918,53.9684922159318,3.33406186877497e-12,3.69747461247144e-09
"IRF1-AS1",0.489739623028612,7.24422123260687,53.9443990401123,3.36871488303261e-12,3.73590480528316e-09
"CALM1",0.244366604573269,10.7999632114785,53.783847522599,3.59764220859667e-12,3.9897852093337e-09
"RAC2",0.288728221398602,9.15481636757216,53.6301269095709,3.8344065970679e-12,4.2523569161483e-09
