"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IFI6",0,-2.2035790478143,0.253,0.637,0
"IFITM3",0,-2.13341419915983,0.37,0.715,0
"ISG15",0,-2.07238397384995,0.277,0.615,0
"LY6E",0,-1.75573793345838,0.347,0.653,0
"MT2A",0,-1.56680627598461,0.403,0.624,0
"MT-ND4L",0,0.768280154772357,0.704,0.559,0
"PSME2",0,-0.62836864041811,0.467,0.605,0
"PLAC8",0,-1.01500082718021,0.25,0.384,0
"TNFSF10",0,-0.955440535972913,0.205,0.334,0
"BST2",0,-0.659267481729132,0.338,0.467,0
"CRIP1",0,0.595667653926254,0.459,0.333,0
"UBE2L6",0,-0.903565904109424,0.178,0.303,0
"LAP3",0,-0.900989074095756,0.183,0.306,0
"ZFP36L1",0,0.558456459178015,0.532,0.411,0
"STAT1",0,-0.800023688897865,0.2,0.32,0
"TNFSF13B",0,-0.51263182353124,0.463,0.581,0
"BLVRA",0,-0.741984541112707,0.207,0.321,0
"IFITM2",0,-0.669113742226913,0.502,0.616,0
"PSMB9",0,-0.559705706576094,0.385,0.498,0
"EIF4B",0,0.688325351079972,0.325,0.213,0
"GLRX",0,-0.421914215119812,0.435,0.544,0
"MIF",0,0.682989246898574,0.309,0.201,0
"WDR74",0,0.612672547223668,0.389,0.281,0
"GNLY",0,0.697055073030623,0.283,0.178,0
"CLEC7A",0,0.490511713582663,0.571,0.469,0
"RETN",0,-0.962605827419401,0.201,0.303,0
"SGK1",0,0.79118774634123,0.287,0.186,0
"TYMP",0,-0.694357247456016,0.757,0.858,0
"PLSCR1",0,-0.584064023289416,0.243,0.341,0
"EEF2",0,0.435171696183245,0.665,0.569,0
"VAMP5",0,-0.531523189994496,0.299,0.394,0
"ATP2B1",0,0.723469150535293,0.306,0.211,0
"ANXA2",0,-0.451493648630183,0.556,0.651,0
"HNRNPH1",0,0.456437939126818,0.399,0.305,0
"IGSF6",0,-0.470519438800249,0.311,0.404,0
"LTA4H",0,0.445643601527846,0.418,0.325,0
"NAMPT",0,0.44800714534762,0.598,0.506,0
"SP110",0,-0.704288879542982,0.171,0.261,0
"GABARAP",0,0.398165743072436,0.41,0.32,0
"TIMP1",0,-0.403404682407591,0.505,0.592,0
"TMEM123",0,-0.45153496755779,0.326,0.412,0
"ARL4A",0,-0.651778407123537,0.207,0.292,0
"CD52",0,0.36369150833394,0.808,0.724,0
"PCBP2",0,0.37481072988975,0.583,0.499,0
"IFI16",0,-0.493043633332509,0.312,0.395,0
"CIRBP",0,0.39131677933261,0.485,0.402,0
"DDX3X",0,0.439964699738483,0.357,0.274,0
"EIF3L",0,0.417614437362297,0.405,0.323,0
"DDIT4",0,-0.762669212547716,0.131,0.213,0
"ID1",0,-0.912479378715034,0.098,0.18,0
"EEF1B2",0,0.37124291849456,0.668,0.587,0
"CD44",0,0.393794925760095,0.625,0.544,0
"LGALS2",0,-0.376465065319874,0.549,0.63,0
"C12orf57",0,0.677698845661354,0.262,0.182,0
"CAPG",0,-0.359248891343938,0.372,0.451,0
"CHMP5",0,-0.730620942247585,0.133,0.212,0
"LTB",0,0.556309843097866,0.25,0.173,0
"ID2",0,-0.388523592679316,0.572,0.648,0
"CSF3R",0,0.360328504368649,0.469,0.393,0
"NAP1L1",0,0.33286118234791,0.613,0.537,0
"RGS2",0,0.262211301956608,0.695,0.619,0
"PTPRE",0,0.366966079465646,0.417,0.342,0
"GIMAP4",0,-0.549337301054733,0.207,0.28,0
"BLVRB",0,-0.296234197898948,0.46,0.532,0
"RNF213",0,-0.494378935514439,0.242,0.314,0
"CTSD",0,-0.32178212729399,0.536,0.608,0
"TMA7",0,0.30481671449563,0.809,0.738,0
"KRT10",0,0.549409840548421,0.251,0.18,0
"LGALS3",0,-0.331061856148037,0.426,0.497,0
"FCGR1A",0,-0.74328425988756,0.117,0.188,0
"JUND",0,0.286363592794885,0.611,0.54,0
"GRN",0,-0.353906786884696,0.57,0.64,0
"TRIM22",0,-0.654691777130707,0.147,0.217,0
"CD63",0,-0.287676534401087,0.484,0.553,0
"NCL",0,0.365281308175335,0.418,0.349,0
"ATP5ME",0,0.257890581451313,0.698,0.629,0
"NPM1",0,0.293042159069521,0.581,0.513,0
"MYL12B",0,-0.276479419843948,0.527,0.594,0
"BTG2",0,0.508311646784881,0.259,0.193,0
"TMEM107",0,0.574339105295918,0.234,0.168,0
"MYL12A",0,-0.307243944317957,0.699,0.763,0
"SORL1",0,0.571113395441565,0.195,0.131,0
"RABGAP1L",0,-0.607777599687153,0.14,0.204,0
"PYCARD",0,-0.244835467467314,0.602,0.663,0
"SNHG9",0,0.582584868070122,0.182,0.122,0
"HNRNPA1",0,0.304697867815177,0.727,0.667,0
"PSME1",0,-0.253163487603272,0.571,0.628,0
"KMT2E-AS1",0,0.53629072741049,0.171,0.115,0
"SERPINA1",0,-0.251089493421432,0.663,0.714,0
"CLIC1",0,-0.235928867868391,0.635,0.685,0
"MT-ND5",0,0.414916686253549,0.833,0.784,0
"TOMM7",0,0.304468897347455,0.78,0.732,0
