"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GZMH",0,-1.23615027560939,0.267,0.466,0
"MT-ND4L",0,0.708519302580814,0.555,0.371,0
"ISG15",0,-1.40130018519648,0.192,0.355,0
"IL7R",0,0.501733724889032,0.566,0.404,0
"LTB",0,0.137160345559938,0.637,0.5,0
"MIF",0,0.518931541023664,0.408,0.271,0
"LY6E",0,-0.839064522402186,0.405,0.538,0
"IFITM1",0,0.296331638785805,0.432,0.301,0
"IFI6",0,-1.32832422116946,0.162,0.292,0
"PABPC1",0,0.383040908233137,0.764,0.648,0
"EIF4B",0,0.562538571512228,0.358,0.243,0
"PIK3IP1",0,0.576572046041555,0.364,0.249,0
"NOSIP",0,0.4494530019474,0.406,0.293,0
"EEF2",0,0.375372828813715,0.685,0.574,0
"ATM",0,0.481984572757274,0.364,0.255,0
"EIF3E",0,0.363529158966861,0.702,0.593,0
"NAP1L1",0,0.349461736194112,0.595,0.489,0
"SNHG8",0,0.377479720413934,0.464,0.359,0
"GZMB",0,-0.971087578370792,0.191,0.295,0
"LGALS1",0,-0.962259575866152,0.32,0.423,0
"ETS1",0,0.377213225110569,0.392,0.29,0
"CIRBP",0,0.292537888580651,0.706,0.604,0
"KLRB1",0,1.022811857745,0.335,0.235,0
"CD69",0,-0.519002615855451,0.406,0.506,0
"MT-ND5",0,0.375228166458767,0.847,0.749,0
"AAK1",0,0.401900339381021,0.333,0.237,0
"SNHG32",0,0.306419573580715,0.45,0.356,0
"TCF7",0,0.522914894679374,0.275,0.181,0
"KLF6",0,-0.714619332308883,0.29,0.383,0
"EEF1B2",0,0.430036405347237,0.839,0.746,0
"EIF2S3",0,0.483351156892977,0.301,0.209,0
"FBL",0,0.455717575337145,0.317,0.225,0
"SARAF",0,0.215216611443723,0.668,0.577,0
"EIF3L",0,0.369849437815623,0.393,0.302,0
"GZMA",0,-0.505552486813238,0.456,0.547,0
"TYROBP",0,0.462288344770694,0.31,0.219,0
"HLA-DPB1",0,-0.676414452249385,0.322,0.413,0
"IFITM2",0,-0.523495441170638,0.513,0.604,0
"ST13",0,0.388633320851917,0.374,0.284,0
"CCNI",0,0.268948959522987,0.503,0.414,0
"RSL1D1",0,0.406575741131527,0.345,0.256,0
"SNHG25",0,0.436456414370292,0.29,0.201,0
"ATF7IP2",0,0.674203525656685,0.225,0.137,0
"FOXP1",0,0.440374208943926,0.315,0.227,0
"CST7",0,-0.460974588396174,0.411,0.498,0
"RIPOR2",0,0.298205942420425,0.396,0.309,0
"NOP53",0,0.233437584264133,0.705,0.618,0
"NCL",0,0.275012300615903,0.517,0.431,0
"NPM1",0,0.31912639827859,0.785,0.701,0
"SELL",0,0.221370702032051,0.358,0.276,0
"HNRNPA1",0,0.319301795816,0.843,0.763,0
"CRIP1",0,0.263720559050068,0.304,0.225,0
"PCBP2",0,0.23434685672998,0.419,0.34,0
"PSME2",0,-0.51674061006014,0.348,0.426,0
"SET",0,0.265703657109881,0.361,0.284,0
"HLA-DPA1",0,-0.687800249746374,0.231,0.308,0
"CLIC1",0,-0.494306301737684,0.343,0.42,0
"NKG7",0,-0.760715733072085,0.618,0.695,0
"TOMM7",0,0.34256992557248,0.854,0.777,0
"GADD45B",0,0.429283775408167,0.29,0.214,0
"TMEM123",0,0.288457884238909,0.347,0.271,0
"HNRNPH1",0,0.272299868040396,0.321,0.246,0
"LYZ",0,0.197296998740042,0.38,0.309,0
"GNLY",0,0.0762938693400299,0.481,0.411,0
