"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0046034","GO:0046034","ATP metabolic process",0.037344398340249,9.02968400893712,0.000679099167971919,0.000606783834295594,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0045333","GO:0045333","cellular respiration",0.0297619047619048,7.19627594627595,0.000679099167971919,0.000606783834295594,"MDH2/PGK1/ATP5F1C/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7/ETFB",10
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process",0.0340909090909091,8.24300699300699,0.000679099167971919,0.000606783834295594,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",0.033210332103321,8.03008799318762,0.000679099167971919,0.000606783834295594,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",0.0313588850174216,7.58241758241758,0.000869997518583006,0.000777353963972576,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0009060","GO:0009060","aerobic respiration",0.0303030303030303,7.32711732711733,0.000958739540550275,0.000856646101103673,"MDH2/PGK1/ATP5F1C/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",0.0230414746543779,5.57131041002009,0.00205952656908936,0.00184021345830506,"MDH2/PGK1/ATP5F1C/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7/ETFB",10
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0261627906976744,6.32602862254025,0.00205952656908936,0.00184021345830506,"RSRP1/LSM8/SF3B2/HSPA8/PNN/SRSF5/RALY/SNRPD3/U2AF1",9
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome",0.0261627906976744,6.32602862254025,0.00205952656908936,0.00184021345830506,"RSRP1/LSM8/SF3B2/HSPA8/PNN/SRSF5/RALY/SNRPD3/U2AF1",9
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions",0.0258620689655172,6.25331564986737,0.00205952656908936,0.00184021345830506,"RSRP1/LSM8/SF3B2/HSPA8/PNN/SRSF5/RALY/SNRPD3/U2AF1",9
"GO:0006163","GO:0006163","purine nucleotide metabolic process",0.0220264317180617,5.32587823336722,0.00242635822220208,0.00216798225484396,"MDH2/PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",10
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",0.0247252747252747,5.97844463229079,0.00245062635101697,0.00218966613983156,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0009259","GO:0009259","ribonucleotide metabolic process",0.0233766233766234,5.65234765234765,0.00342731176497397,0.00306234710946267,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0008380","GO:0008380","RNA splicing",0.0204081632653061,4.93458922030351,0.00342731176497397,0.00306234710946267,"RSRP1/CLK1/LSM8/SF3B2/HSPA8/PNN/SRSF5/RALY/SNRPD3/U2AF1",10
"GO:0019693","GO:0019693","ribose phosphate metabolic process",0.0229591836734694,5.55141287284144,0.00342731176497397,0.00306234710946267,"PGK1/ATP5F1C/HSPA8/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7",9
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",0.0202429149797571,4.89463303228485,0.00342731176497397,0.00306234710946267,"MDH2/PGK1/ATP5F1C/RAN/PKM/ALDOA/ATP5PD/EIF6/NDUFS7/ETFB",10
"GO:0006096","GO:0006096","glycolytic process",0.0485436893203883,11.7376151356734,0.0061736275349353,0.00551621554529102,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process",0.0471698113207547,11.4054184808902,0.00624488382433829,0.0055798839556511,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0046032","GO:0046032","ADP catabolic process",0.0471698113207547,11.4054184808902,0.00624488382433829,0.0055798839556511,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process",0.0458715596330275,11.0915078804987,0.00624488382433829,0.0055798839556511,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process",0.0458715596330275,11.0915078804987,0.00624488382433829,0.0055798839556511,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process",0.0458715596330275,11.0915078804987,0.00624488382433829,0.0055798839556511,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",0.0335195530726257,8.10485603781693,0.00624991432000117,0.0055843787681773,"MDH2/PGK1/RAN/PKM/ALDOA/EIF6",6
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process",0.0446428571428571,10.7944139194139,0.00624991432000117,0.0055843787681773,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0046031","GO:0046031","ADP metabolic process",0.0446428571428571,10.7944139194139,0.00624991432000117,0.0055843787681773,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process",0.043859649122807,10.6050382366172,0.00653404837620719,0.00583825619905906,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process",0.032258064516129,7.79983457402812,0.00693697220145741,0.00619827381525571,"MDH2/PGK1/RAN/PKM/ALDOA/EIF6",6
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process",0.0403225806451613,9.74979321753515,0.00870044733583698,0.00777396151182496,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process",0.0403225806451613,9.74979321753515,0.00870044733583698,0.00777396151182496,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0006090","GO:0006090","pyruvate metabolic process",0.0378787878787879,9.15889665889666,0.0112615240637456,0.0100623164829061,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process",0.037037037037037,8.95536562203229,0.0120982252927573,0.0108099197842262,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process",0.0364963503649635,8.82463035747707,0.0125475772403576,0.0112114215244321,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process",0.0354609929078014,8.5742862338607,0.013900592187557,0.0124203577685637,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0009261","GO:0009261","ribonucleotide catabolic process",0.0347222222222222,8.39565527065527,0.01486827903514,0.0132849984034911,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:0006195","GO:0006195","purine nucleotide catabolic process",0.0344827586206897,8.33775419982316,0.0149113978835054,0.0133235256486645,"PGK1/RAN/PKM/ALDOA/EIF6",5
"GO:1901654","GO:1901654","response to ketone",0.0258620689655172,6.25331564986737,0.0171404528630415,0.0153152149204654,"RAP1A/BTG2/RWDD1/GNAS/CALR/CALM3",6
"GO:0051385","GO:0051385","response to mineralocorticoid",0.0810810810810811,19.6049896049896,0.0199910920819218,0.0178622976986572,"KRAS/RAN/CALM3",3
