"","gene","logFC","p_val","bonferroni","padj"
"1","ISG15",2.06781441038363,3.31741600197972e-18,6.52203985989213e-15,1.91824701761533e-16
"10","ENO1",0.218316090823889,5.98125410465186e-12,1.17591455697456e-08,7.73627998009576e-11
"13","AGTRAP",0.218531664929687,5.20120440686913e-10,1.02255678639047e-06,4.38865573558142e-09
"16","SDHB",0.365892158235885,4.37908405508177e-13,8.60927925229077e-10,6.99941402625265e-12
"17","CAPZB",0.198590960184834,1.02382679421408e-11,2.01284347742488e-08,1.23487329903367e-10
"27","TMEM50A",0.247883463302117,1.75120451567828e-07,0.00034428680778235,8.52195068768193e-07
"33","NUDC",0.180112290995781,8.07885000457343e-09,1.58830191089914e-05,5.27675053454863e-08
"34","WASF2",-0.151677958131427,9.75355812365154e-06,0.0191754952710989,3.32330940573638e-05
"35","FGR",0.120403695666912,3.39058624207321e-06,0.00666589255191593,1.26009311000301e-05
"36","IFI6",2.18756018651239,7.74381295321289e-18,1.52243362660165e-14,3.71325274780891e-16
"38","THEMIS2",0.241588949585076,1.35734968501107e-06,0.00266854948073177,5.47956772224183e-06
"39","DNAJC8",0.207504122754528,1.4444162858173e-07,0.000283972241791682,7.17101620686066e-07
"44","LAPTM5",0.13685190653273,1.45477564212389e-06,0.00286008891241558,5.82502833485861e-06
"45","PUM1",0.168682657853577,1.57486382248008e-05,0.0309618227499584,5.20366768906864e-05
"48","EIF3I",0.136212159337199,1.84873562702244e-05,0.0363461424272613,6.0076268474812e-05
"50","RBBP4",-0.179249853603165,4.6344145800179e-08,9.11125906431518e-05,2.56655184910287e-07
"52","PSMB2",0.239249253419907,1.29715968315023e-07,0.000255021593707335,6.55582503103688e-07
"54","LSM10",0.202400895437566,4.14629209700369e-07,0.000815161026270925,1.85263869607028e-06
"55","CSF3R",-0.262630733582466,8.77003997810374e-13,1.7241898596952e-09,1.33658128658542e-11
"58","PABPC4",-0.398765327769879,4.23800534211319e-16,8.33191850259453e-13,1.41218957671094e-14
"59","CAP1",0.133871765136179,5.06527083841653e-08,9.9583224683269e-05,2.77390598003535e-07
"66","PRDX1",0.336496152818332,1.41101914532196e-13,2.77406363970297e-10,2.6170411695311e-12
"67","AKR1A1",0.19818194062324,1.7142307893618e-07,0.00033701777318853,8.38352669623209e-07
"72","TXNDC12",0.239872046301459,4.25176132796959e-10,8.35896277078822e-07,3.68236245409173e-09
"77","TMEM59",0.308642971168966,3.58534769516551e-07,0.000704879356869539,1.62414598357037e-06
"81","LEPROT",0.199997303337132,1.03223076958925e-09,2.02936569301246e-06,7.98962871264747e-09
"86","ENSG00000273338.1",-0.345786570966329,5.19407115178653e-06,0.0102115438844123,1.87024613267625e-05
"87","GNG5",0.194904304338293,8.34553421279375e-06,0.0164073202623525,2.87847723900921e-05
"89","SH3GLB1",0.158688546668882,1.35734968501107e-06,0.00266854948073177,5.47956772224183e-06
"92","PKN2",-0.184624394413756,4.2606536419032e-06,0.00837644505998168,1.56569066541714e-05
"93","EVI5",-0.239243104449086,8.80322278944338e-12,1.73071360040457e-08,1.08169600025286e-10
"100","PSMA5",0.280028032953987,1.87986172777378e-08,3.69580815680325e-05,1.12677077951318e-07
"103","CD53",0.310050454107288,1.79023450129099e-11,3.51960102953808e-08,2.0703535467871e-10
"106","C1orf162",0.232552669879466,1.5569833572147e-07,0.000306102928028409,7.67175258216564e-07
"111","CSDE1",-0.217937232849138,3.38521088809865e-10,6.65532460600195e-07,2.984450495965e-09
"113","CD58",0.22780151535284,1.28325959455932e-07,0.000252288836290363,6.51909137701196e-07
"116","FCGR1A",0.837374157026031,3.35858623302523e-22,6.60298053412761e-19,9.43282933446801e-20
"124","PSMD4",0.182950076861817,1.63763516276559e-06,0.00321959072999716,6.47804975854559e-06
"125","PSMB4",0.169956643459754,8.78047027712201e-08,0.000172624045648219,4.62799049995225e-07
"126","S100A10",0.410182378717716,4.03584050985395e-16,7.93446244237286e-13,1.36801076592636e-14
"127","S100A11",0.302309893149486,2.22189800172216e-10,4.36825147138577e-07,2.03174487041199e-09
"128","S100A9",0.513483350874228,3.34666970290569e-19,6.57955263591259e-16,2.53059716765869e-17
"131","S100A6",0.24310419939145,6.27745308365837e-10,1.23414727624724e-06,5.07879537550303e-09
"136","C1orf43",0.208892913016223,1.27171852154171e-08,2.50019861335101e-05,7.93713845508256e-08
"137","ADAR",0.442774820919571,6.68137986464396e-14,1.313559281389e-10,1.32682755695859e-12
"142","SSR2",0.181369503913503,9.20943679903258e-11,1.8105752746898e-07,9.05287637344903e-10
"147","IFI16",0.56434392277593,1.50122014163947e-14,2.95139879846321e-11,3.2432953829266e-13
