"","gene","logFC","p_val","bonferroni","padj"
"1","ISG15",1.69910696301427,1.98058892911061e-25,2.34105611420874e-22,1.17052805710437e-22
"2","AURKAIP1",0.203424983063941,1.25147526498965e-08,1.47924376321777e-05,8.85774708513634e-08
"6","PARK7",0.167686517166878,6.86632940807613e-06,0.00811600136034598,2.69634596689235e-05
"7","ENO1",0.298041058759974,1.53799154121046e-11,1.81790600171076e-08,2.04259101315816e-10
"9","CAPZB",0.14215270803167,1.15736515533274e-07,0.000136800561360329,6.36281680745718e-07
"15","RCAN3",-0.208548106696968,4.33882049115681e-06,0.00512848582054734,1.79317686033124e-05
"18","RSRP1",0.175765367054934,3.46972683246194e-06,0.00410121711597001,1.45433231062766e-05
"19","TMEM50A",0.302245641104666,4.49432256671222e-10,5.31228927385385e-07,4.2161025982967e-09
"20","SH3BGRL3",0.369041431672546,2.49811479857127e-14,2.95277169191124e-11,6.56171487091388e-13
"22","HMGN2",-0.137026702715513,1.90740807133745e-05,0.0225455634032086,6.77043946042301e-05
"24","IFI6",1.51695403056372,1.01137195425419e-23,1.19544164992845e-20,3.98480549976149e-21
"33","RBBP4",-0.134179751564792,1.54718311457297e-05,0.0182877044142525,5.59257015726375e-05
"42","PRDX1",0.353088843708169,9.75485069731782e-16,1.15302335242297e-12,3.20284264561935e-14
"50","JUN",0.639866708486192,1.92761475984888e-11,2.27844064614138e-08,2.50378092982569e-10
"58","GNG5",0.214179627997421,1.38015862229798e-05,0.0163134749155621,5.06629655762798e-05
"59","ODF2L",0.413683934694046,2.64210777562767e-21,3.1229713907919e-18,3.87752115497225e-19
"63","CD53",0.314523553547833,4.57208555415851e-12,5.40420512501536e-09,6.7552564062692e-11
"66","RAP1A",0.12026709358698,2.83886859018369e-07,0.000335554267359712,1.44635460068841e-06
"69","CSDE1",-0.269290531365572,2.14713234944632e-16,2.53791043704555e-13,7.93097011576733e-15
"78","CDC42SE1",-0.423517333565236,1.72618624229343e-07,0.000204035213839084,9.27432790177653e-07
"80","S100A10",0.376771260828303,3.59160133974639e-13,4.24527278358023e-10,7.19537759928853e-12
"81","S100A11",0.478662798224089,3.77929236052439e-10,4.46712357013983e-07,3.57369885611187e-09
"84","S100A6",0.278770746466675,3.86764689941364e-09,4.57155863510692e-06,3.16804323116861e-08
"85","S100A4",0.508425175092356,2.08822052405208e-12,2.46827665942956e-09,3.52493365914406e-11
"87","TPM3",0.146523699332334,5.66854727344257e-06,0.00670022287720912,2.27898737320038e-05
"88","HAX1",0.110696507648854,4.03732127082636e-05,0.0477211374211676,0.000133672653840806
"91","ASH1L",-0.199523116341624,2.2869047181462e-05,0.0270312137684881,7.9503569907318e-05
"93","LAMTOR2",0.258083618873004,7.16027120054924e-08,8.4634405590492e-05,4.18982205893525e-07
"94","IFI16",0.375204976532654,5.05827956768039e-13,5.97888644899822e-10,9.96481074833037e-12
"95","TAGLN2",0.340582173344881,3.43027507884254e-12,4.05458514319189e-09,5.13238625720492e-11
