"","p_value","bonferroni_pval","fdr"
"IFI6",9.41054947675564e-73,1.84917297218248e-69,1.84917297218248e-69
"ISG15",1.43521311205855e-65,2.82019376519504e-62,1.41009688259752e-62
"IFITM3",1.31087922604597e-50,2.57587767918034e-47,8.58625893060113e-48
"MT2A",2.23056867046652e-48,4.38306743746671e-45,1.09576685936668e-45
"HNRNPL",1.60669133656769e-35,3.15714847635551e-32,6.31429695271102e-33
"ANXA2",3.62344376236398e-33,7.12006699304523e-30,1.1866778321742e-30
"LY6E",1.00265280749661e-31,1.97021276673084e-28,2.81458966675834e-29
"GNLY",1.28858379088158e-27,2.53206714908231e-24,3.16508393635289e-25
"HNRNPH1",3.4058835253516e-27,6.69256112731588e-24,7.43617903035098e-25
"TYMP",4.52790740902856e-26,8.89733805874113e-23,8.89733805874113e-24
"S100A9",4.04123704685227e-24,7.94103079706471e-21,7.04967447782465e-22
"ID1",4.30514471928223e-24,8.45960937338958e-21,7.04967447782465e-22
"EEF1A1",1.8471353967469e-23,3.62962105460765e-20,2.79201619585204e-21
"BLVRB",2.47975477806092e-23,4.8727181388897e-20,3.48051295634979e-21
"MIF",3.76189942655728e-23,7.39213237318505e-20,4.92808824879003e-21
"PLAC8",7.70380332789639e-23,1.51379735393164e-19,9.46123346207275e-21
"CHMP5",4.37775097627218e-22,8.60228066837483e-19,4.69222335941814e-20
"PSMA7",4.42335573434706e-22,8.69189401799198e-19,4.69222335941814e-20
"MYL12B",4.53700986406843e-22,8.91522438289447e-19,4.69222335941814e-20
"TNFSF13B",6.5901031934873e-22,1.29495527752026e-18,6.47477638760128e-20
"UBE2L6",9.46132363797003e-22,1.85915009486111e-18,8.85309568981481e-20
"BST2",1.18681989753725e-21,2.3321010986607e-18,1.06004595393668e-19
"MT-ND3",2.65774092130112e-20,5.2224609103567e-17,2.27063517841596e-18
"SP110",3.06817924378854e-20,6.02897221404449e-17,2.51207175585187e-18
"HLA-C",3.5300176396662e-20,6.93648466194408e-17,2.77459386477763e-18
"BLVRA",4.65883452803926e-20,9.15460984759715e-17,3.52100378753737e-18
"CREG1",3.32674989193662e-19,6.53706353765546e-16,2.4211346435761e-17
"CD3D",3.90593441644249e-19,7.6751611283095e-16,2.74112897439625e-17
"PHF11",4.49547051726291e-19,8.83359956642163e-16,3.04606881600746e-17
"HNRNPA1",5.80573073152936e-19,1.14082608874552e-15,3.80275362915173e-17
"SNHG9",9.08153060665866e-19,1.78452076420843e-15,5.67764389322395e-17
"HLA-A",9.24603585664969e-19,1.81684604583166e-15,5.67764389322395e-17
"FCER1G",1.52213631053102e-18,2.99099785019345e-15,9.06362984907107e-17
"TREX1",1.71464943428924e-18,3.36928613837836e-15,9.90966511287752e-17
"CST3",2.12177225029508e-18,4.16928247182982e-15,1.19122356337995e-16
"MT-ND4L",2.64941506401127e-18,5.20610060078215e-15,1.44613905577282e-16
"PSME2",2.83699318615046e-18,5.57469161078565e-15,1.50667340832045e-16
"MDM4",6.02059759494878e-18,1.18304742740743e-14,3.11328270370377e-16
"IFITM2",1.25954002386347e-17,2.47499614689171e-14,6.25897909447511e-16
"BIRC2",1.27409243653437e-17,2.50359163779004e-14,6.25897909447511e-16
"MT-CO3",1.33175735560114e-17,2.61690320375624e-14,6.38269074086888e-16
"SQOR",1.36546947790366e-17,2.6831475240807e-14,6.38844648590642e-16
"LTB",2.09000355796737e-17,4.10685699140588e-14,9.55083021257181e-16
"CIRBP",6.28289212928139e-17,1.23458830340379e-13,2.80588250773589e-15
"EIF4B",1.18933645850261e-16,2.33704614095762e-13,5.19343586879471e-15
