"","p_value","bonferroni_pval","fdr"
"GNLY",2.2399690408811e-38,4.40377913437225e-35,4.40377913437225e-35
"CHMP5",6.7203549804515e-38,1.32122178915676e-34,6.60610894578382e-35
"LY6E",1.15390013322083e-36,2.26856766191216e-33,7.56189220637387e-34
"ANXA2",2.15762960531031e-36,4.24189980404007e-33,1.06047495101002e-33
"SP110",3.15047045736902e-36,6.1938249191875e-33,1.2387649838375e-33
"UBE2L6",1.29468096377303e-34,2.54534277477778e-31,4.24223795796296e-32
"IFI6",1.20355134984086e-33,2.36618195378713e-30,3.28136653713237e-31
"ISG15",1.33524579333972e-33,2.6250932297059e-30,3.28136653713237e-31
"HNRNPL",3.39147152108561e-33,6.6676330104543e-30,7.408481122727e-31
"TYMP",3.92500339253958e-32,7.71655666973281e-29,7.71655666973282e-30
"MT2A",6.29286977823405e-32,1.23717819840081e-28,1.12470745309165e-29
"PLAC8",6.86649642423535e-32,1.34995319700467e-28,1.12496099750389e-29
"IFITM3",2.02554336608609e-30,3.98221825772525e-27,2.95860021368513e-28
"BLVRA",2.10683636783275e-30,4.14204029915919e-27,2.95860021368513e-28
"BST2",8.31909124458568e-30,1.63553333868554e-26,1.0903555591237e-27
"LTB",6.28038545854037e-29,1.23472378114904e-25,7.71702363218148e-27
"BIRC2",6.71904213351822e-29,1.32096368344968e-25,7.77037460852754e-27
"SSB",3.08373270556162e-28,6.06261849913415e-25,3.36812138840786e-26
"SORL1",3.18123176732225e-26,6.25430165455555e-23,3.29173771292397e-24
"TNFSF13B",2.23464093847028e-25,4.39330408503258e-22,2.19665204251629e-23
"FOXP1",1.36872793353437e-24,2.69091911732856e-21,1.28139005587074e-22
"CLEC7A",1.60650723631499e-23,3.15839322659527e-20,1.43563328481603e-21
"HNRNPA1",2.58039081152103e-23,5.07304833545034e-20,2.20567318932624e-21
"LAP3",3.98044298687908e-23,7.82555091220427e-20,3.26064621341844e-21
"CIRBP",4.37677240989948e-23,8.60473455786238e-20,3.44189382314495e-21
"TRIM22",1.44038107742465e-22,2.83178919821686e-19,1.07315236327268e-20
"MT-ND3",1.47381046838059e-22,2.89751138083623e-19,1.07315236327268e-20
"PABPC4",1.87626595616499e-22,3.68873886982037e-19,1.31740673922156e-20
"MT-CO3",2.6595249761402e-22,5.22862610309164e-19,1.80297451830746e-20
"PHF11",2.82961345007176e-22,5.56302004284109e-19,1.85434001428036e-20
"MYL12B",3.70285965107169e-22,7.27982207400694e-19,2.34832970129256e-20
"TNFSF10",8.4199814929313e-22,1.65536836151029e-18,5.17302612971967e-20
"HNRNPDL",9.82119914369454e-22,1.93084775165035e-18,5.85105379287984e-20
"ID1",2.58608693688761e-21,5.08424691792104e-18,1.49536674056501e-19
"STAT2",3.65430886559753e-21,7.18437122976475e-18,2.0526774942185e-19
"PSMA7",4.02945109236257e-21,7.92190084758481e-18,2.200528013218e-19
"PCBP2",4.31749681259263e-21,8.4881987335571e-18,2.29410776582624e-19
"SRSF6",4.90991661740662e-21,9.65289606982141e-18,2.54023580784774e-19
"BLVRB",5.14083051613194e-21,1.01068727947154e-17,2.59150584479882e-19
"TTC3",5.81576717112218e-21,1.14337982584262e-17,2.85844956460655e-19
"IFITM2",6.18086599279401e-21,1.2151582541833e-17,2.96380061995927e-19
"NMI",1.00221402401466e-20,1.97035277121282e-17,4.69131612193528e-19
"RABGAP1L",1.22559452173937e-20,2.4095188297396e-17,5.60353216218513e-19
"KRT10",1.55600485113266e-20,3.0591055373268e-17,6.95251258483364e-19
"CREG1",1.71062014294058e-20,3.36307920102118e-17,7.47350933560261e-19
"ST13",2.16827202365738e-20,4.2628227985104e-17,9.26700608371827e-19
"HNRNPH1",5.77532651878798e-20,1.13542919359372e-16,2.41580679488025e-18
"CD44",6.58170933566754e-20,1.29396405539224e-16,2.69575844873383e-18
"MIF",6.96673715640344e-20,1.36966052494892e-16,2.79522556112024e-18
"S100A9",1.21563319729504e-19,2.38993486588206e-16,4.77986973176411e-18
"SQOR",1.39269933843115e-19,2.73804689935565e-16,5.36871941050128e-18
"PSMD7",1.50056124594988e-19,2.95010340953746e-16,5.67327578757203e-18
"RNF145",1.79160545212002e-19,3.52229631886795e-16,6.6458421110716e-18
"EIF2S3",1.92202913429863e-19,3.77870927803111e-16,6.99760977413168e-18
"ARL4A",3.3972341117972e-19,6.6789622637933e-16,1.21435677523515e-17
"ATP2B1",4.04672352364266e-19,7.95585844748147e-16,1.42068900847883e-17
"HLA-C",5.30063861816969e-19,1.04210555233216e-15,1.80265653991521e-17
"SNHG9",5.31811186750163e-19,1.04554079315082e-15,1.80265653991521e-17
"PLSCR1",5.96422145418588e-19,1.17256593789295e-15,1.9873998947338e-17
"CD3D",6.17813102013078e-19,1.21462055855771e-15,2.02436759759618e-17
"LGALS9",7.93748066858199e-19,1.56050869944322e-15,2.5582109826938e-17
"EEF1A1",9.46841897861331e-19,1.86149117119538e-15,3.00240511483125e-17
"CST3",1.17802290835401e-18,2.31599303782397e-15,3.67617942511742e-17
"EIF4B",1.32488728540117e-18,2.60472840309871e-15,4.06988812984173e-17
"HLA-A",1.74555805676063e-18,3.43176713959139e-15,5.27964175321752e-17
"DDX3X",1.94551930872749e-18,3.82489096095824e-15,5.7952893347852e-17
"MDM4",1.97908263948315e-18,3.89087646922387e-15,5.80727831227443e-17
"FCER1G",2.20417084862652e-18,4.33339988839974e-15,6.3726468947055e-17
"TMEM123",2.33581249189929e-18,4.592207359074e-15,6.65537298416521e-17
"S100A10",2.46073391834065e-18,4.83780288345772e-15,6.91114697636817e-17
"PSME2",3.02368394481197e-18,5.94456263550034e-15,8.37262343028217e-17
"RAP2B",4.24107674209821e-18,8.33795687496508e-15,1.14933640612569e-16
"TREX1",4.26762755072104e-18,8.39015576471756e-15,1.14933640612569e-16
"TLE4",4.38151523884209e-18,8.61405895956355e-15,1.16406202156264e-16
"IGSF6",4.587630172867e-18,9.01928091985653e-15,1.2025707893142e-16
"CMTM3",5.0166328976722e-18,9.86270027682354e-15,1.29772372063468e-16
"LASP1",6.48068469036605e-18,1.27410261012597e-14,1.65467871444931e-16
"CSDE1",7.68243574693458e-18,1.51036686784734e-14,1.93636777929146e-16
"SET",9.60668054743226e-18,1.88867339562518e-14,2.39072581724707e-16
"LRP1",1.15750712764251e-17,2.27565901294517e-14,2.84457376618146e-16
