"","p_value","bonferroni_pval","fdr"
"ISG15",3.8504576654444e-74,4.55124096055528e-71,4.55124096055528e-71
"IFI6",1.12098664901409e-69,1.32500621913465e-66,6.62503109567326e-67
"GNLY",1.39416883203979e-45,1.64790755947104e-42,5.49302519823679e-43
"LY6E",1.85152286051119e-35,2.18850002112423e-32,5.47125005281057e-33
"FOXP1",7.54459238102549e-26,8.91770819437213e-23,1.78354163887443e-23
"COX5A",1.50300174313081e-23,1.77654806038062e-20,2.9609134339677e-21
"LDHA",2.45193151232528e-22,2.89818304756848e-19,4.1402614965264e-20
"PSME2",6.4456081530685e-22,7.61870883692697e-19,9.52338604615871e-20
"CHMP5",1.95941523688101e-21,2.31602880999336e-18,2.57336534443706e-19
"TIMP1",2.8653402986213e-21,3.38683223297038e-18,3.38683223297038e-19
"CAMK4",6.5203573554321e-21,7.70706239412075e-18,6.66116473714149e-19
"SAT1",6.76260379405228e-21,7.99339768456979e-18,6.66116473714149e-19
"ARPC3",9.93630341760366e-21,1.17447106396075e-17,9.0343927996981e-19
"CIAO2B",1.12295699693567e-20,1.32733517037796e-17,9.48096550269971e-19
"ST13",2.97627327645508e-20,3.5179550127699e-17,2.3453033418466e-18
"HSP90AA1",1.10164170035641e-19,1.30214048982127e-16,8.13837806138294e-18
"ARRDC3",3.63180396080268e-19,4.29279228166876e-16,2.51232276412836e-17
"ATM",3.8258722296371e-19,4.52218097543105e-16,2.51232276412836e-17
"CHMP3",5.11378877361745e-19,6.04449833041582e-16,3.18131491074517e-17
"CIB1",5.8263910964472e-19,6.88679427600059e-16,3.44339713800029e-17
"EIF2S3",1.83247903879391e-18,2.1659902238544e-15,1.03142391612114e-16
"FCMR",1.96220636283474e-18,2.31932792087066e-15,1.05423996403212e-16
"LTB",2.46948708686248e-18,2.91893373667145e-15,1.26910162463976e-16
"DYNLRB1",3.22276123419669e-18,3.80930377882049e-15,1.58720990784187e-16
"CHMP2A",4.57005081495726e-18,5.40180006327948e-15,2.16072002531179e-16
"SP100",1.76439271000781e-17,2.08551218322924e-14,7.97900284296595e-16
"CLIC1",1.82261486260644e-17,2.15433076760081e-14,7.97900284296595e-16
"CYCS",2.12397080482738e-17,2.51053349130596e-14,8.96619104037843e-16
"PSME1",2.3769865169997e-17,2.80959806309364e-14,9.68826918308152e-16
"TATDN1",2.51211204519532e-17,2.96931643742086e-14,9.89772145806954e-16
"IL6ST",3.12413313114879e-17,3.69272536101787e-14,1.1912017293606e-15
"KLF6",3.39314659748653e-17,4.01069927822908e-14,1.25334352444659e-15
"UBB",4.64442768395373e-17,5.48971352243331e-14,1.66354955225252e-15
"SH3BGRL3",7.22409478241184e-17,8.53888003281079e-14,2.51143530376788e-15
"GSTK1",1.05420826561265e-16,1.24607416995415e-13,3.56021191415472e-15
"HADHA",1.49517885314643e-16,1.76730140441908e-13,4.90917056783078e-15
"CALM1",1.85137810481548e-16,2.18832891989189e-13,5.9144024861943e-15
"PSMB9",2.90900419587196e-16,3.43844295952066e-13,9.04853410400172e-15
"TXN",3.02100521711954e-16,3.57082816663529e-13,9.15596965803921e-15
"CARD16",3.42228511643545e-16,4.04514100762671e-13,1.01128525190668e-14
"PHPT1",3.62977803086214e-16,4.29039763247905e-13,1.04643844694611e-14
"HLA-A",7.41909895536191e-16,8.76937496523778e-13,2.08794642029471e-14
"BCL11B",8.04952303568545e-16,9.5145362281802e-13,2.21268284376284e-14
"GAPDH",1.31329042712475e-15,1.55230928486146e-12,3.5279756474124e-14
"SEC61B",8.5960181851854e-15,1.01604934948891e-11,2.2578874433087e-13
"TMEM50A",1.05283777358914e-14,1.24445424838236e-11,2.70533532257034e-13
"ODF2L",1.56409489639352e-14,1.84876016753714e-11,3.93353227135561e-13
"COX4I1",1.75384983010012e-14,2.07305049917835e-11,4.24971204414665e-13
"IFITM2",1.76172495907941e-14,2.08235890163186e-11,4.24971204414665e-13
"SF3B5",2.87540843962151e-14,3.39873277563262e-11,6.79746555126525e-13
