"","p_value","bonferroni_pval","fdr"
"IFI6",5.20267145221785e-52,5.7697626405096e-49,5.7697626405096e-49
"ISG15",4.8717624425699e-48,5.40278454881002e-45,2.70139227440501e-45
"NKG7",1.04977202567543e-27,1.16419717647406e-24,3.88065725491352e-25
"MT-ND3",1.84048430671325e-26,2.041097096145e-23,5.10274274036249e-24
"TMSB4X",4.39862576296289e-25,4.87807597112585e-22,9.7561519422517e-23
"ARPC3",1.18078132417606e-23,1.30948648851125e-20,2.18247748085209e-21
"GAPDH",6.43208145257727e-21,7.13317833090819e-18,1.01902547584403e-18
"LY6E",2.25865994590494e-20,2.50485388000858e-17,3.0081675268964e-18
"MIF",2.59707282900571e-20,2.88015376736733e-17,3.0081675268964e-18
"MT-ND4L",2.71250453281912e-20,3.0081675268964e-17,3.0081675268964e-18
"IFITM2",3.14055246992594e-20,3.48287268914786e-17,3.11541841777965e-18
"MT-CYB",3.37105689931071e-20,3.73850210133558e-17,3.11541841777965e-18
"UBB",3.75037440506277e-19,4.15916521521461e-16,3.14971208810102e-17
"CIB1",3.97619199579931e-19,4.40959692334143e-16,3.14971208810102e-17
"LTB",7.29206999542765e-19,8.08690562492927e-16,5.39127041661951e-17
"TTC19",1.1416116340059e-18,1.26604730211255e-15,7.91279563820342e-17
"MT-ND4",1.21813452850094e-18,1.35091119210754e-15,7.94653642416203e-17
"HLA-A",2.98037966154609e-18,3.30524104465461e-15,1.83624502480812e-16
"CYCS",8.8500943079681e-18,9.81475458753662e-15,5.1656603092298e-16
"GZMH",2.41851151486427e-17,2.68212926998447e-14,1.34106463499224e-15
"MT-CO2",2.68031991584013e-17,2.97247478666671e-14,1.415464184127e-15
"HADHA",6.16263936762846e-17,6.83436705869997e-14,3.10653048122726e-15
"PSME1",1.49695129907116e-16,1.66011899066991e-13,7.14297035883668e-15
"ATF7IP2",1.54581865294933e-16,1.7143128861208e-13,7.14297035883668e-15
"CIRBP",1.61330754297032e-16,1.78915806515408e-13,7.15663226061632e-15
"MYL12B",4.30390119166956e-16,4.77302642156155e-13,1.83577939290829e-14
"EIF2S3",7.54666359250719e-16,8.36924992409047e-13,3.09972219410758e-14
"PSME2",9.9755049236615e-16,1.10628349603406e-12,3.95101248583593e-14
"SNHG25",1.66997207849791e-15,1.85199903505418e-12,6.38620356915235e-14
"EIF4B",3.00919074521609e-15,3.33719253644465e-12,1.11239751214822e-13
"MT-CO3",6.46763217600004e-15,7.17260408318405e-12,2.31374325264002e-13
"SH3BGRL3",1.15090061433979e-14,1.27634878130283e-11,3.98858994157134e-13
"LST1",1.65796691427034e-14,1.83868530792581e-11,5.57177366038123e-13
